Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	63.621953362	63.622953362	3000.000	6278.347	3937.500	3937.500
2	Spectrogram 1	1	63.622953362	63.623953362	3000.000	6278.347	3937.500	3937.500
3	Spectrogram 1	1	63.623953362	63.624953362	3000.000	6278.347	4125.000	4125.000
4	Spectrogram 1	1	63.624953362	63.625953362	3000.000	6278.347	4125.000	4125.000
5	Spectrogram 1	1	63.625953362	63.626953362	3000.000	6278.347	4125.000	4125.000
6	Spectrogram 1	1	63.626953362	63.627953362	3000.000	6278.347	4125.000	4125.000
7	Spectrogram 1	1	63.627953362	63.628953362	3000.000	6278.347	4125.000	4125.000
8	Spectrogram 1	1	63.628953362	63.629953362	3000.000	6278.347	4312.500	4312.500
9	Spectrogram 1	1	63.629953362	63.630953362	3000.000	6278.347	4312.500	4312.500
10	Spectrogram 1	1	63.630953362	63.631953362	3000.000	6278.347	4312.500	4312.500
11	Spectrogram 1	1	63.631953362	63.632953362	3000.000	6278.347	4312.500	4312.500
12	Spectrogram 1	1	63.632953362	63.633953362	3000.000	6278.347	4312.500	4312.500
13	Spectrogram 1	1	63.633953362	63.634953362	3000.000	6278.347	4312.500	4312.500
14	Spectrogram 1	1	63.634953362	63.635953362	3000.000	6278.347	4500.000	4406.250
15	Spectrogram 1	1	63.635953362	63.636953362	3000.000	6278.347	4500.000	4406.250
16	Spectrogram 1	1	63.636953362	63.637953362	3000.000	6278.347	4500.000	4406.250
17	Spectrogram 1	1	63.637953362	63.638953362	3000.000	6278.347	4500.000	4406.250
18	Spectrogram 1	1	63.638953362	63.639953362	3000.000	6278.347	4500.000	4406.250
19	Spectrogram 1	1	63.639953362	63.640953362	3000.000	6278.347	4875.000	4875.000
20	Spectrogram 1	1	63.640953362	63.641953362	3000.000	6278.347	4875.000	4875.000
21	Spectrogram 1	1	63.641953362	63.642953362	3000.000	6278.347	4875.000	4875.000
22	Spectrogram 1	1	63.642953362	63.643953362	3000.000	6278.347	4875.000	4875.000
23	Spectrogram 1	1	63.643953362	63.644953362	3000.000	6278.347	4875.000	4875.000
24	Spectrogram 1	1	63.644953362	63.645953362	3000.000	6278.347	4968.750	4968.750
25	Spectrogram 1	1	63.645953362	63.646953362	3000.000	6278.347	4968.750	4968.750
26	Spectrogram 1	1	63.646953362	63.647953362	3000.000	6278.347	4968.750	4968.750
27	Spectrogram 1	1	63.647953362	63.648953362	3000.000	6278.347	4968.750	4968.750
28	Spectrogram 1	1	63.648953362	63.649953362	3000.000	6278.347	4968.750	4968.750
29	Spectrogram 1	1	63.649953362	63.650953362	3000.000	6278.347	4968.750	4968.750
30	Spectrogram 1	1	63.650953362	63.651953362	3000.000	6278.347	4406.250	4406.250
