Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	37.464562283	37.465562283	2805.800	6302.200	4406.250	4406.250
2	Spectrogram 1	1	37.465562283	37.466562283	2805.800	6302.200	4406.250	4406.250
3	Spectrogram 1	1	37.466562283	37.467562283	2805.800	6302.200	4406.250	4406.250
4	Spectrogram 1	1	37.467562283	37.468562283	2805.800	6302.200	4406.250	4406.250
5	Spectrogram 1	1	37.468562283	37.469562283	2805.800	6302.200	4406.250	4406.250
6	Spectrogram 1	1	37.469562283	37.470562283	2805.800	6302.200	4687.500	4593.750
7	Spectrogram 1	1	37.470562283	37.471562283	2805.800	6302.200	4687.500	4593.750
8	Spectrogram 1	1	37.471562283	37.472562283	2805.800	6302.200	4687.500	4593.750
9	Spectrogram 1	1	37.472562283	37.473562283	2805.800	6302.200	4687.500	4593.750
10	Spectrogram 1	1	37.473562283	37.474562283	2805.800	6302.200	4687.500	4593.750
11	Spectrogram 1	1	37.474562283	37.475562283	2805.800	6302.200	5156.250	5156.250
12	Spectrogram 1	1	37.475562283	37.476562283	2805.800	6302.200	5156.250	5156.250
13	Spectrogram 1	1	37.476562283	37.477562283	2805.800	6302.200	5156.250	5156.250
14	Spectrogram 1	1	37.477562283	37.478562283	2805.800	6302.200	5156.250	5156.250
15	Spectrogram 1	1	37.478562283	37.479562283	2805.800	6302.200	5156.250	5156.250
16	Spectrogram 1	1	37.479562283	37.480562283	2805.800	6302.200	5343.750	5343.750
17	Spectrogram 1	1	37.480562283	37.481562283	2805.800	6302.200	5343.750	5343.750
18	Spectrogram 1	1	37.481562283	37.482562283	2805.800	6302.200	5343.750	5343.750
19	Spectrogram 1	1	37.482562283	37.483562283	2805.800	6302.200	5343.750	5343.750
20	Spectrogram 1	1	37.483562283	37.484562283	2805.800	6302.200	5343.750	5343.750
21	Spectrogram 1	1	37.484562283	37.485562283	2805.800	6302.200	5343.750	5343.750
22	Spectrogram 1	1	37.485562283	37.486562283	2805.800	6302.200	4875.000	4875.000
23	Spectrogram 1	1	37.486562283	37.487562283	2805.800	6302.200	4875.000	4875.000
24	Spectrogram 1	1	37.487562283	37.488562283	2805.800	6302.200	4875.000	4875.000
25	Spectrogram 1	1	37.488562283	37.489562283	2805.800	6302.200	4875.000	4875.000
26	Spectrogram 1	1	37.489562283	37.490562283	2805.800	6302.200	4875.000	4875.000
27	Spectrogram 1	1	37.490562283	37.491562283	2805.800	6302.200	4500.000	4500.000
28	Spectrogram 1	1	37.491562283	37.492562283	2805.800	6302.200	4500.000	4500.000
29	Spectrogram 1	1	37.492562283	37.493562283	2805.800	6302.200	4500.000	4500.000
30	Spectrogram 1	1	37.493562283	37.494562283	2805.800	6302.200	4500.000	4500.000
31	Spectrogram 1	1	37.494562283	37.495562283	2805.800	6302.200	4500.000	4500.000
32	Spectrogram 1	1	37.495562283	37.496562283	2805.800	6302.200	4218.750	4218.750
33	Spectrogram 1	1	37.496562283	37.497562283	2805.800	6302.200	4218.750	4218.750
34	Spectrogram 1	1	37.497562283	37.498562283	2805.800	6302.200	4218.750	4218.750
35	Spectrogram 1	1	37.498562283	37.499562283	2805.800	6302.200	4218.750	4218.750
36	Spectrogram 1	1	37.499562283	37.500562283	2805.800	6302.200	4218.750	4218.750
37	Spectrogram 1	1	37.500562283	37.501562283	2805.800	6302.200	4218.750	4218.750
38	Spectrogram 1	1	37.501562283	37.502562283	2805.800	6302.200	4031.250	4031.250
39	Spectrogram 1	1	37.502562283	37.503562283	2805.800	6302.200	4031.250	4031.250
40	Spectrogram 1	1	37.503562283	37.504562283	2805.800	6302.200	4031.250	4031.250
41	Spectrogram 1	1	37.504562283	37.505562283	2805.800	6302.200	4031.250	4031.250
