Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	10.013092456	10.014092456	2839.400	6185.900	4031.250	4031.250
2	Spectrogram 1	1	10.014092456	10.015092456	2839.400	6185.900	4031.250	4031.250
3	Spectrogram 1	1	10.015092456	10.016092456	2839.400	6185.900	4031.250	4031.250
4	Spectrogram 1	1	10.016092456	10.017092456	2839.400	6185.900	4031.250	4031.250
5	Spectrogram 1	1	10.017092456	10.018092456	2839.400	6185.900	4031.250	4031.250
6	Spectrogram 1	1	10.018092456	10.019092456	2839.400	6185.900	4031.250	4031.250
7	Spectrogram 1	1	10.019092456	10.020092456	2839.400	6185.900	4312.500	4312.500
8	Spectrogram 1	1	10.020092456	10.021092456	2839.400	6185.900	4312.500	4312.500
9	Spectrogram 1	1	10.021092456	10.022092456	2839.400	6185.900	4312.500	4312.500
10	Spectrogram 1	1	10.022092456	10.023092456	2839.400	6185.900	4312.500	4312.500
11	Spectrogram 1	1	10.023092456	10.024092456	2839.400	6185.900	4312.500	4312.500
12	Spectrogram 1	1	10.024092456	10.025092456	2839.400	6185.900	4968.750	4968.750
13	Spectrogram 1	1	10.025092456	10.026092456	2839.400	6185.900	4968.750	4968.750
14	Spectrogram 1	1	10.026092456	10.027092456	2839.400	6185.900	4968.750	4968.750
15	Spectrogram 1	1	10.027092456	10.028092456	2839.400	6185.900	4968.750	4968.750
16	Spectrogram 1	1	10.028092456	10.029092456	2839.400	6185.900	4968.750	4968.750
17	Spectrogram 1	1	10.029092456	10.030092456	2839.400	6185.900	5437.500	5437.500
18	Spectrogram 1	1	10.030092456	10.031092456	2839.400	6185.900	5437.500	5437.500
19	Spectrogram 1	1	10.031092456	10.032092456	2839.400	6185.900	5437.500	5437.500
20	Spectrogram 1	1	10.032092456	10.033092456	2839.400	6185.900	5437.500	5437.500
21	Spectrogram 1	1	10.033092456	10.034092456	2839.400	6185.900	5437.500	5437.500
22	Spectrogram 1	1	10.034092456	10.035092456	2839.400	6185.900	5437.500	5437.500
23	Spectrogram 1	1	10.035092456	10.036092456	2839.400	6185.900	5531.250	5531.250
24	Spectrogram 1	1	10.036092456	10.037092456	2839.400	6185.900	5531.250	5531.250
25	Spectrogram 1	1	10.037092456	10.038092456	2839.400	6185.900	5531.250	5531.250
26	Spectrogram 1	1	10.038092456	10.039092456	2839.400	6185.900	5531.250	5531.250
27	Spectrogram 1	1	10.039092456	10.040092456	2839.400	6185.900	5531.250	5531.250
28	Spectrogram 1	1	10.040092456	10.041092456	2839.400	6185.900	4875.000	4968.750
29	Spectrogram 1	1	10.041092456	10.042092456	2839.400	6185.900	4875.000	4968.750
30	Spectrogram 1	1	10.042092456	10.043092456	2839.400	6185.900	4875.000	4968.750
31	Spectrogram 1	1	10.043092456	10.044092456	2839.400	6185.900	4875.000	4968.750
32	Spectrogram 1	1	10.044092456	10.045092456	2839.400	6185.900	4875.000	4968.750
33	Spectrogram 1	1	10.045092456	10.046092456	2839.400	6185.900	4218.750	4218.750
34	Spectrogram 1	1	10.046092456	10.047092456	2839.400	6185.900	4218.750	4218.750
35	Spectrogram 1	1	10.047092456	10.048092456	2839.400	6185.900	4218.750	4218.750
36	Spectrogram 1	1	10.048092456	10.049092456	2839.400	6185.900	4218.750	4218.750
37	Spectrogram 1	1	10.049092456	10.050092456	2839.400	6185.900	4218.750	4218.750
38	Spectrogram 1	1	10.050092456	10.051092456	2839.400	6185.900	4218.750	4218.750
39	Spectrogram 1	1	10.051092456	10.052092456	2839.400	6185.900	4031.250	3937.500
40	Spectrogram 1	1	10.052092456	10.053092456	2839.400	6185.900	4031.250	3937.500
41	Spectrogram 1	1	10.053092456	10.054092456	2839.400	6185.900	4031.250	3937.500
42	Spectrogram 1	1	10.054092456	10.055092456	2839.400	6185.900	4031.250	3937.500
43	Spectrogram 1	1	10.055092456	10.056092456	2839.400	6185.900	4031.250	3937.500
44	Spectrogram 1	1	10.056092456	10.057092456	2839.400	6185.900	3843.750	3750.000
