Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	2.383298469	2.384298469	3408.100	6186.200	4312.500	3937.500
2	Spectrogram 1	1	2.384298469	2.385298469	3408.100	6186.200	4312.500	3937.500
3	Spectrogram 1	1	2.385298469	2.386298469	3408.100	6186.200	4312.500	3937.500
4	Spectrogram 1	1	2.386298469	2.387298469	3408.100	6186.200	4500.000	4312.500
5	Spectrogram 1	1	2.387298469	2.388298469	3408.100	6186.200	4500.000	4312.500
6	Spectrogram 1	1	2.388298469	2.389298469	3408.100	6186.200	4500.000	4312.500
7	Spectrogram 1	1	2.389298469	2.390298469	3408.100	6186.200	4500.000	4312.500
8	Spectrogram 1	1	2.390298469	2.391298469	3408.100	6186.200	4500.000	4312.500
9	Spectrogram 1	1	2.391298469	2.392298469	3408.100	6186.200	4500.000	4312.500
10	Spectrogram 1	1	2.392298469	2.393298469	3408.100	6186.200	4593.750	4593.750
11	Spectrogram 1	1	2.393298469	2.394298469	3408.100	6186.200	4593.750	4593.750
12	Spectrogram 1	1	2.394298469	2.395298469	3408.100	6186.200	4593.750	4593.750
13	Spectrogram 1	1	2.395298469	2.396298469	3408.100	6186.200	4593.750	4593.750
14	Spectrogram 1	1	2.396298469	2.397298469	3408.100	6186.200	4593.750	4593.750
15	Spectrogram 1	1	2.397298469	2.398298469	3408.100	6186.200	4875.000	4875.000
16	Spectrogram 1	1	2.398298469	2.399298469	3408.100	6186.200	4875.000	4875.000
17	Spectrogram 1	1	2.399298469	2.400298469	3408.100	6186.200	4875.000	4875.000
18	Spectrogram 1	1	2.400298469	2.401298469	3408.100	6186.200	4875.000	4875.000
19	Spectrogram 1	1	2.401298469	2.402298469	3408.100	6186.200	4875.000	4875.000
20	Spectrogram 1	1	2.402298469	2.403298469	3408.100	6186.200	5250.000	5250.000
21	Spectrogram 1	1	2.403298469	2.404298469	3408.100	6186.200	5250.000	5250.000
22	Spectrogram 1	1	2.404298469	2.405298469	3408.100	6186.200	5250.000	5250.000
23	Spectrogram 1	1	2.405298469	2.406298469	3408.100	6186.200	5250.000	5250.000
24	Spectrogram 1	1	2.406298469	2.407298469	3408.100	6186.200	5250.000	5250.000
25	Spectrogram 1	1	2.407298469	2.408298469	3408.100	6186.200	5250.000	5250.000
26	Spectrogram 1	1	2.408298469	2.409298469	3408.100	6186.200	5437.500	5437.500
27	Spectrogram 1	1	2.409298469	2.410298469	3408.100	6186.200	5437.500	5437.500
28	Spectrogram 1	1	2.410298469	2.411298469	3408.100	6186.200	5437.500	5437.500
29	Spectrogram 1	1	2.411298469	2.412298469	3408.100	6186.200	5437.500	5437.500
30	Spectrogram 1	1	2.412298469	2.413298469	3408.100	6186.200	5437.500	5437.500
31	Spectrogram 1	1	2.413298469	2.414298469	3408.100	6186.200	5250.000	5343.750
32	Spectrogram 1	1	2.414298469	2.415298469	3408.100	6186.200	5250.000	5343.750
33	Spectrogram 1	1	2.415298469	2.416298469	3408.100	6186.200	5250.000	5343.750
34	Spectrogram 1	1	2.416298469	2.417298469	3408.100	6186.200	5250.000	5343.750
35	Spectrogram 1	1	2.417298469	2.418298469	3408.100	6186.200	5250.000	5343.750
36	Spectrogram 1	1	2.418298469	2.419298469	3408.100	6186.200	4687.500	4593.750
37	Spectrogram 1	1	2.419298469	2.420298469	3408.100	6186.200	4687.500	4593.750
38	Spectrogram 1	1	2.420298469	2.421298469	3408.100	6186.200	4687.500	4593.750
39	Spectrogram 1	1	2.421298469	2.422298469	3408.100	6186.200	4687.500	4593.750
40	Spectrogram 1	1	2.422298469	2.423298469	3408.100	6186.200	4687.500	4593.750
41	Spectrogram 1	1	2.423298469	2.424298469	3408.100	6186.200	4687.500	4593.750
42	Spectrogram 1	1	2.424298469	2.425298469	3408.100	6186.200	4312.500	4218.750
43	Spectrogram 1	1	2.425298469	2.426298469	3408.100	6186.200	4312.500	4218.750
44	Spectrogram 1	1	2.426298469	2.427298469	3408.100	6186.200	4312.500	4218.750
45	Spectrogram 1	1	2.427298469	2.428298469	3408.100	6186.200	4312.500	4218.750
46	Spectrogram 1	1	2.428298469	2.429298469	3408.100	6186.200	4312.500	4218.750
47	Spectrogram 1	1	2.429298469	2.430298469	3408.100	6186.200	4312.500	4031.250
48	Spectrogram 1	1	2.430298469	2.431298469	3408.100	6186.200	4312.500	4031.250
49	Spectrogram 1	1	2.431298469	2.432298469	3408.100	6186.200	4312.500	4031.250
50	Spectrogram 1	1	2.432298469	2.433298469	3408.100	6186.200	4312.500	4031.250
51	Spectrogram 1	1	2.433298469	2.434298469	3408.100	6186.200	4312.500	4031.250
52	Spectrogram 1	1	2.434298469	2.435298469	3408.100	6186.200	3937.500	3937.500
53	Spectrogram 1	1	2.435298469	2.436298469	3408.100	6186.200	3937.500	3937.500
54	Spectrogram 1	1	2.436298469	2.437298469	3408.100	6186.200	3937.500	3937.500
55	Spectrogram 1	1	2.437298469	2.438298469	3408.100	6186.200	3937.500	3937.500
56	Spectrogram 1	1	2.438298469	2.439298469	3408.100	6186.200	3937.500	3937.500
57	Spectrogram 1	1	2.439298469	2.440298469	3408.100	6186.200	3937.500	3937.500
58	Spectrogram 1	1	2.440298469	2.441298469	3408.100	6186.200	3937.500	4031.250
59	Spectrogram 1	1	2.441298469	2.442298469	3408.100	6186.200	3937.500	4031.250
60	Spectrogram 1	1	2.442298469	2.443298469	3408.100	6186.200	3937.500	4031.250
61	Spectrogram 1	1	2.443298469	2.444298469	3408.100	6186.200	3937.500	4031.250
62	Spectrogram 1	1	2.444298469	2.445298469	3408.100	6186.200	3937.500	4031.250
63	Spectrogram 1	1	2.445298469	2.446298469	3408.100	6186.200	3937.500	3937.500
64	Spectrogram 1	1	2.446298469	2.447298469	3408.100	6186.200	3937.500	3937.500
65	Spectrogram 1	1	2.447298469	2.448298469	3408.100	6186.200	3937.500	3937.500
66	Spectrogram 1	1	2.448298469	2.449298469	3408.100	6186.200	3937.500	3937.500
67	Spectrogram 1	1	2.449298469	2.450298469	3408.100	6186.200	3937.500	3937.500
68	Spectrogram 1	1	2.450298469	2.451298469	3408.100	6186.200	4031.250	4031.250
69	Spectrogram 1	1	2.451298469	2.452298469	3408.100	6186.200	4031.250	4031.250
70	Spectrogram 1	1	2.452298469	2.453298469	3408.100	6186.200	4031.250	4031.250
71	Spectrogram 1	1	2.453298469	2.454298469	3408.100	6186.200	4031.250	4031.250
72	Spectrogram 1	1	2.454298469	2.455298469	3408.100	6186.200	4031.250	4031.250
73	Spectrogram 1	1	2.455298469	2.456298469	3408.100	6186.200	4031.250	4031.250
74	Spectrogram 1	1	2.456298469	2.457298469	3408.100	6186.200	4031.250	4031.250
75	Spectrogram 1	1	2.457298469	2.458298469	3408.100	6186.200	4031.250	4031.250
76	Spectrogram 1	1	2.458298469	2.459298469	3408.100	6186.200	4031.250	4031.250
77	Spectrogram 1	1	2.459298469	2.460298469	3408.100	6186.200	4031.250	4031.250
78	Spectrogram 1	1	2.460298469	2.461298469	3408.100	6186.200	4031.250	4031.250
79	Spectrogram 1	1	2.461298469	2.462298469	3408.100	6186.200	4593.750	4781.250
80	Spectrogram 1	1	2.462298469	2.463298469	3408.100	6186.200	4593.750	4781.250
81	Spectrogram 1	1	2.463298469	2.464298469	3408.100	6186.200	4593.750	4781.250
82	Spectrogram 1	1	2.464298469	2.465298469	3408.100	6186.200	4593.750	4781.250
83	Spectrogram 1	1	2.465298469	2.466298469	3408.100	6186.200	4593.750	4781.250
84	Spectrogram 1	1	2.466298469	2.467298469	3408.100	6186.200	4687.500	4875.000
85	Spectrogram 1	1	2.467298469	2.468298469	3408.100	6186.200	4687.500	4875.000
86	Spectrogram 1	1	2.468298469	2.469298469	3408.100	6186.200	4687.500	4875.000
87	Spectrogram 1	1	2.469298469	2.470298469	3408.100	6186.200	4687.500	4875.000
