Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	4.575826761	4.576826761	3160.300	6343.500	5812.500	5812.500
2	Spectrogram 1	1	4.576826761	4.577826761	3160.300	6343.500	5812.500	5812.500
3	Spectrogram 1	1	4.577826761	4.578826761	3160.300	6343.500	5812.500	5812.500
4	Spectrogram 1	1	4.578826761	4.579826761	3160.300	6343.500	6093.750	6093.750
5	Spectrogram 1	1	4.579826761	4.580826761	3160.300	6343.500	6093.750	6093.750
6	Spectrogram 1	1	4.580826761	4.581826761	3160.300	6343.500	6093.750	6093.750
7	Spectrogram 1	1	4.581826761	4.582826761	3160.300	6343.500	6093.750	6093.750
8	Spectrogram 1	1	4.582826761	4.583826761	3160.300	6343.500	6093.750	6093.750
9	Spectrogram 1	1	4.583826761	4.584826761	3160.300	6343.500	5250.000	5250.000
10	Spectrogram 1	1	4.584826761	4.585826761	3160.300	6343.500	5250.000	5250.000
11	Spectrogram 1	1	4.585826761	4.586826761	3160.300	6343.500	5250.000	5250.000
12	Spectrogram 1	1	4.586826761	4.587826761	3160.300	6343.500	5250.000	5250.000
13	Spectrogram 1	1	4.587826761	4.588826761	3160.300	6343.500	5250.000	5250.000
14	Spectrogram 1	1	4.588826761	4.589826761	3160.300	6343.500	4875.000	4875.000
15	Spectrogram 1	1	4.589826761	4.590826761	3160.300	6343.500	4875.000	4875.000
16	Spectrogram 1	1	4.590826761	4.591826761	3160.300	6343.500	4875.000	4875.000
17	Spectrogram 1	1	4.591826761	4.592826761	3160.300	6343.500	4875.000	4875.000
18	Spectrogram 1	1	4.592826761	4.593826761	3160.300	6343.500	4875.000	4875.000
19	Spectrogram 1	1	4.593826761	4.594826761	3160.300	6343.500	4875.000	4875.000
20	Spectrogram 1	1	4.594826761	4.595826761	3160.300	6343.500	4781.250	4781.250
21	Spectrogram 1	1	4.595826761	4.596826761	3160.300	6343.500	4781.250	4781.250
22	Spectrogram 1	1	4.596826761	4.597826761	3160.300	6343.500	4781.250	4781.250
23	Spectrogram 1	1	4.597826761	4.598826761	3160.300	6343.500	4781.250	4781.250
24	Spectrogram 1	1	4.598826761	4.599826761	3160.300	6343.500	4781.250	4781.250
25	Spectrogram 1	1	4.599826761	4.600826761	3160.300	6343.500	5062.500	5156.250
26	Spectrogram 1	1	4.600826761	4.601826761	3160.300	6343.500	5062.500	5156.250
27	Spectrogram 1	1	4.601826761	4.602826761	3160.300	6343.500	5062.500	5156.250
28	Spectrogram 1	1	4.602826761	4.603826761	3160.300	6343.500	5062.500	5156.250
29	Spectrogram 1	1	4.603826761	4.604826761	3160.300	6343.500	5062.500	5156.250
30	Spectrogram 1	1	4.604826761	4.605826761	3160.300	6343.500	5250.000	5343.750
31	Spectrogram 1	1	4.605826761	4.606826761	3160.300	6343.500	5250.000	5343.750
32	Spectrogram 1	1	4.606826761	4.607826761	3160.300	6343.500	5250.000	5343.750
33	Spectrogram 1	1	4.607826761	4.608826761	3160.300	6343.500	5250.000	5343.750
34	Spectrogram 1	1	4.608826761	4.609826761	3160.300	6343.500	5250.000	5343.750
35	Spectrogram 1	1	4.609826761	4.610826761	3160.300	6343.500	5250.000	5343.750
36	Spectrogram 1	1	4.610826761	4.611826761	3160.300	6343.500	4968.750	4875.000
37	Spectrogram 1	1	4.611826761	4.612826761	3160.300	6343.500	4968.750	4875.000
38	Spectrogram 1	1	4.612826761	4.613826761	3160.300	6343.500	4968.750	4875.000
39	Spectrogram 1	1	4.613826761	4.614826761	3160.300	6343.500	4968.750	4875.000
40	Spectrogram 1	1	4.614826761	4.615826761	3160.300	6343.500	4968.750	4875.000
41	Spectrogram 1	1	4.615826761	4.616826761	3160.300	6343.500	4593.750	4593.750
42	Spectrogram 1	1	4.616826761	4.617826761	3160.300	6343.500	4593.750	4593.750
43	Spectrogram 1	1	4.617826761	4.618826761	3160.300	6343.500	4593.750	4593.750
44	Spectrogram 1	1	4.618826761	4.619826761	3160.300	6343.500	4593.750	4593.750
45	Spectrogram 1	1	4.619826761	4.620826761	3160.300	6343.500	4593.750	4593.750
46	Spectrogram 1	1	4.620826761	4.621826761	3160.300	6343.500	4218.750	4218.750
47	Spectrogram 1	1	4.621826761	4.622826761	3160.300	6343.500	4218.750	4218.750
48	Spectrogram 1	1	4.622826761	4.623826761	3160.300	6343.500	4218.750	4218.750
49	Spectrogram 1	1	4.623826761	4.624826761	3160.300	6343.500	4218.750	4218.750
50	Spectrogram 1	1	4.624826761	4.625826761	3160.300	6343.500	4218.750	4218.750
51	Spectrogram 1	1	4.625826761	4.626826761	3160.300	6343.500	4218.750	4218.750
52	Spectrogram 1	1	4.626826761	4.627826761	3160.300	6343.500	4031.250	4031.250
53	Spectrogram 1	1	4.627826761	4.628826761	3160.300	6343.500	4031.250	4031.250
54	Spectrogram 1	1	4.628826761	4.629826761	3160.300	6343.500	4031.250	4031.250
55	Spectrogram 1	1	4.629826761	4.630826761	3160.300	6343.500	4031.250	4031.250
56	Spectrogram 1	1	4.630826761	4.631826761	3160.300	6343.500	4031.250	4031.250
57	Spectrogram 1	1	4.631826761	4.632826761	3160.300	6343.500	3843.750	3843.750
58	Spectrogram 1	1	4.632826761	4.633826761	3160.300	6343.500	3843.750	3843.750
59	Spectrogram 1	1	4.633826761	4.634826761	3160.300	6343.500	3843.750	3843.750
60	Spectrogram 1	1	4.634826761	4.635826761	3160.300	6343.500	3843.750	3843.750
61	Spectrogram 1	1	4.635826761	4.636826761	3160.300	6343.500	3843.750	3843.750
62	Spectrogram 1	1	4.636826761	4.637826761	3160.300	6343.500	3750.000	3750.000
63	Spectrogram 1	1	4.637826761	4.638826761	3160.300	6343.500	3750.000	3750.000
64	Spectrogram 1	1	4.638826761	4.639826761	3160.300	6343.500	3750.000	3750.000
65	Spectrogram 1	1	4.639826761	4.640826761	3160.300	6343.500	3750.000	3750.000
66	Spectrogram 1	1	4.640826761	4.641826761	3160.300	6343.500	3750.000	3750.000
67	Spectrogram 1	1	4.641826761	4.642826761	3160.300	6343.500	3750.000	3750.000
68	Spectrogram 1	1	4.642826761	4.643826761	3160.300	6343.500	3656.250	3656.250
69	Spectrogram 1	1	4.643826761	4.644826761	3160.300	6343.500	3656.250	3656.250
70	Spectrogram 1	1	4.644826761	4.645826761	3160.300	6343.500	3656.250	3656.250
71	Spectrogram 1	1	4.645826761	4.646826761	3160.300	6343.500	3656.250	3656.250
72	Spectrogram 1	1	4.646826761	4.647826761	3160.300	6343.500	3656.250	3656.250
73	Spectrogram 1	1	4.647826761	4.648826761	3160.300	6343.500	4500.000	3468.750
74	Spectrogram 1	1	4.648826761	4.649826761	3160.300	6343.500	4500.000	3468.750
75	Spectrogram 1	1	4.649826761	4.650826761	3160.300	6343.500	4500.000	3468.750
