Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	2.375937143	2.376934875	2898.900	6140.200	5167.969	5167.969
2	Spectrogram 1	1	2.376934875	2.377932608	2898.900	6140.200	5684.766	5684.766
3	Spectrogram 1	1	2.377932608	2.378930340	2898.900	6140.200	5684.766	5684.766
4	Spectrogram 1	1	2.378930340	2.379928073	2898.900	6140.200	5684.766	5684.766
5	Spectrogram 1	1	2.379928073	2.380925805	2898.900	6140.200	5684.766	5684.766
6	Spectrogram 1	1	2.380925805	2.381923538	2898.900	6140.200	5684.766	5684.766
7	Spectrogram 1	1	2.381923538	2.382921270	2898.900	6140.200	5684.766	5684.766
8	Spectrogram 1	1	2.382921270	2.383919002	2898.900	6140.200	5598.633	5684.766
9	Spectrogram 1	1	2.383919002	2.384916735	2898.900	6140.200	5598.633	5684.766
10	Spectrogram 1	1	2.384916735	2.385914467	2898.900	6140.200	5598.633	5684.766
11	Spectrogram 1	1	2.385914467	2.386912200	2898.900	6140.200	5598.633	5684.766
12	Spectrogram 1	1	2.386912200	2.387909932	2898.900	6140.200	5598.633	5684.766
13	Spectrogram 1	1	2.387909932	2.388907665	2898.900	6140.200	5598.633	5684.766
14	Spectrogram 1	1	2.388907665	2.389905397	2898.900	6140.200	5081.836	5081.836
15	Spectrogram 1	1	2.389905397	2.390903129	2898.900	6140.200	5081.836	5081.836
16	Spectrogram 1	1	2.390903129	2.391900862	2898.900	6140.200	5081.836	5081.836
17	Spectrogram 1	1	2.391900862	2.392898594	2898.900	6140.200	5081.836	5081.836
18	Spectrogram 1	1	2.392898594	2.393896327	2898.900	6140.200	5081.836	5081.836
19	Spectrogram 1	1	2.393896327	2.394894059	2898.900	6140.200	5081.836	5081.836
20	Spectrogram 1	1	2.394894059	2.395891792	2898.900	6140.200	4737.305	4737.305
21	Spectrogram 1	1	2.395891792	2.396889524	2898.900	6140.200	4737.305	4737.305
22	Spectrogram 1	1	2.396889524	2.397887256	2898.900	6140.200	4737.305	4737.305
23	Spectrogram 1	1	2.397887256	2.398884989	2898.900	6140.200	4737.305	4737.305
24	Spectrogram 1	1	2.398884989	2.399882721	2898.900	6140.200	4737.305	4737.305
25	Spectrogram 1	1	2.399882721	2.400880454	2898.900	6140.200	5167.969	5167.969
