Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	12.388189855	12.389187587	1403.200	5853.300	4306.641	4392.773
2	Spectrogram 1	1	12.389187587	12.390185320	1403.200	5853.300	4306.641	4392.773
3	Spectrogram 1	1	12.390185320	12.391183052	1403.200	5853.300	4306.641	4392.773
4	Spectrogram 1	1	12.391183052	12.392180785	1403.200	5853.300	4306.641	4909.570
5	Spectrogram 1	1	12.392180785	12.393178517	1403.200	5853.300	4306.641	4909.570
6	Spectrogram 1	1	12.393178517	12.394176250	1403.200	5853.300	4306.641	4909.570
7	Spectrogram 1	1	12.394176250	12.395173982	1403.200	5853.300	4306.641	4909.570
8	Spectrogram 1	1	12.395173982	12.396171714	1403.200	5853.300	4306.641	4909.570
9	Spectrogram 1	1	12.396171714	12.397169447	1403.200	5853.300	4134.375	4306.641
10	Spectrogram 1	1	12.397169447	12.398167179	1403.200	5853.300	4134.375	4306.641
11	Spectrogram 1	1	12.398167179	12.399164912	1403.200	5853.300	4134.375	4306.641
12	Spectrogram 1	1	12.399164912	12.400162644	1403.200	5853.300	4134.375	4306.641
13	Spectrogram 1	1	12.400162644	12.401160377	1403.200	5853.300	4134.375	4306.641
14	Spectrogram 1	1	12.401160377	12.402158109	1403.200	5853.300	4134.375	4306.641
15	Spectrogram 1	1	12.402158109	12.403155841	1403.200	5853.300	4478.906	4478.906
16	Spectrogram 1	1	12.403155841	12.404153574	1403.200	5853.300	4478.906	4478.906
17	Spectrogram 1	1	12.404153574	12.405151306	1403.200	5853.300	4478.906	4478.906
18	Spectrogram 1	1	12.405151306	12.406149039	1403.200	5853.300	4478.906	4478.906
19	Spectrogram 1	1	12.406149039	12.407146771	1403.200	5853.300	4478.906	4478.906
20	Spectrogram 1	1	12.407146771	12.408144504	1403.200	5853.300	4478.906	4478.906
21	Spectrogram 1	1	12.408144504	12.409142236	1403.200	5853.300	3703.711	3875.977
22	Spectrogram 1	1	12.409142236	12.410139968	1403.200	5853.300	3703.711	3875.977
23	Spectrogram 1	1	12.410139968	12.411137701	1403.200	5853.300	3703.711	3875.977
24	Spectrogram 1	1	12.411137701	12.412135433	1403.200	5853.300	3703.711	3875.977
25	Spectrogram 1	1	12.412135433	12.413133166	1403.200	5853.300	3703.711	3875.977
26	Spectrogram 1	1	12.413133166	12.414130898	1403.200	5853.300	3703.711	3875.977
27	Spectrogram 1	1	12.414130898	12.415128631	1403.200	5853.300	3531.445	2670.117
28	Spectrogram 1	1	12.415128631	12.416126363	1403.200	5853.300	3531.445	2670.117
29	Spectrogram 1	1	12.416126363	12.417124095	1403.200	5853.300	3531.445	2670.117
30	Spectrogram 1	1	12.417124095	12.418121828	1403.200	5853.300	3531.445	2670.117
31	Spectrogram 1	1	12.418121828	12.419119560	1403.200	5853.300	3531.445	2670.117
32	Spectrogram 1	1	12.419119560	12.420117293	1403.200	5853.300	3531.445	2670.117
33	Spectrogram 1	1	12.420117293	12.421115025	1403.200	5853.300	2670.117	2583.984
34	Spectrogram 1	1	12.421115025	12.422112757	1403.200	5853.300	2670.117	2583.984
35	Spectrogram 1	1	12.422112757	12.423110490	1403.200	5853.300	2670.117	2583.984
36	Spectrogram 1	1	12.423110490	12.424108222	1403.200	5853.300	2670.117	2583.984
37	Spectrogram 1	1	12.424108222	12.425105955	1403.200	5853.300	2670.117	2583.984
38	Spectrogram 1	1	12.425105955	12.426103687	1403.200	5853.300	2670.117	2670.117
39	Spectrogram 1	1	12.426103687	12.427101420	1403.200	5853.300	2670.117	2670.117
40	Spectrogram 1	1	12.427101420	12.428099152	1403.200	5853.300	2670.117	2670.117
41	Spectrogram 1	1	12.428099152	12.429096884	1403.200	5853.300	2670.117	2670.117
42	Spectrogram 1	1	12.429096884	12.430094617	1403.200	5853.300	2670.117	2670.117
