SN,Call Recording Reference,Spectrograms made,Used in analysis,Month,Year,location,state/province,country,latitude,longitude,Recordist,Source,Library Reference,,,
1,0000-820504_41935ML P.humei India Ben King_1982,1,1,May,1982,Baramula,Jammu&Kashmir,India,34.2,74.35,Ben King,ML,41935ML,Ben King,ML,wav
2,0000-830200_Netherlands_Cornelius_P. humei_022A-WS4368XXXXXX-0101M0,2,1,February,1983,De Delftse Hout,South Holland,Netherlands,52.01,4.4," Hazevoet, Cornelius J.",NSA,022A-WS4368XXXXXX-0101M0,Cornelius,NSA,wav
3,0000-830600_Kyrgystan_Svensson_P. humei_022A-WS4368XXXXXX-0107M0,2,1,June,1983,Ala Archa National Park ,Kyrgystan,Kyrgystan,43,74,Svensson Lars,NSA,022A-WS4368XXXXXX-0107M0,Svensson??,NSA,wav
4,0000-860200_Bharatpur_Hansen_P. humei_022A-WS4368XXXXXX-0104M0,4,1,February,1986,Bharatpur,Rajasthan,India,27.22,77.49,Hansen,NSA,022A-WS4368XXXXXX-0104M0,Hansen,NSA,wav
5,0000-860200_Bharatpur_P. humei_Scharringa_022A-WS4368XXXXXX-0106M0,2,1,February,1986,Bharatpur,Rajasthan,India,27.22,77.49,Scharringa,NSA,022A-WS4368XXXXXX-0106M0,Scharringa,NSA,wav
6,0000-860500_Tuva Russia_Nicolai_P. humei_022A-WS4371XXXXXX-0104M0,1,1,May,1986,Tuva,Tuva,Russia,51.89,95.63,Nicolai,NSA,022A-WS4371XXXXXX-0104M0,Nicolai,NSA,wav
7,0000-860600_Svensson_P. humei_022A-WS4368XXXXXX-0110M0,1,1,June,1986,Almaty,Almaty Region,Kazakhstan,43,77,Svensson Lars,NSA,022A-WS4368XXXXXX-0110M0,Svensson??,NSA,wav
8,0000-890000_Phyloscopus humei _Trevor Price overa Humei1989,1,1,,1989,Overa,Kashmir,India,34.04,75.32,Trevor Price,Personal,NA-Personal,Sebatian,NSA,wav
9,0000-891200_Nepal_Sebastian_P. humei_022A-W0001X0537XX-0135M0,1,1,December,1989,Chitwan,Nepal,Nepal,27.53,84.35,Sebatian,NSA,022A-W0001X0537XX-0135M0,Trevor Price,Personal,wav
10,0000-900100_Bharatpur_Sebatian_P. humei_022A-W0001X0537XX-0115M0,1,1,January,1990,Bharatpur,Rajasthan,India,27.22,77.49,Sebatian,NSA,022A-W0001X0537XX-0115M0,Sebatian,NSA,wav
11,0000-910000_P.humei Bharatpur K91 2_489-491,1,1,March,1991,Bharatpur,Rajasthan,India,27.22,77.49,Per Alstrom,Personal,NA-Personal,Paul Holt,NSA,wav
12,0000-910000_P.humei call Bharatpur Ind91 2_436-468,2,2,March,1991,Bharatpur,Rajasthan,India,27.22,77.49,Per Alstrom,Personal,NA-Personal,Paul Holt,NSA,wav
13,0000-910000_P.humei Call Bharatpur Ind91 2_549-570,10,3,March,1991,Bharatpur,Rajasthan,India,27.22,77.49,Per Alstrom,Personal,NA-Personal,Paul Holt,NSA,wav
14,0000-910102_Netherlands_Hans_XC477443 - Hume's Leaf Warbler - Phylloscopus humeiU ,1,0,February,1991,Almere,Flevoland,Netherlands,52.42,"5,23",Hans Groot,XC,XC477443,Per Alstrom,Personal,wav
15,0000-910300_P.humei L PA_91_03_653-,3,2,March,1991,Bharatpur,Rajasthan,India,27.22,77.49,Per Alstrom,Personal,NA-Personal,Per Alstrom,Personal,wav
16,0000-911100_Nepal_Pholt_P. humei_022A-WS4370XXXXXX-0108M0,2,1,November,1991,Kathmandu Valley,Nepal,Nepal,27.7,85.35,Paul Holt,NSA,022A-WS4370XXXXXX-0108M0,Per Alstrom,Personal,wav
17,0000-911100_Nepal_Pholt_P. humei_022A-WS4370XXXXXX-0109M0,4,1,November,1991,Kathmandu Valley,Nepal,Nepal,27.7,85.35,Paul Holt,NSA,022A-WS4370XXXXXX-0109M0.,Per Alstrom,Personal,wav
18,0000-911100_Nepal_Pholt_P. humei_022A-WS4370XXXXXX-0111M0,2,1,November,1991,Kathmandu Valley,Nepal,Nepal,27.7,85.35,Paul Holt,NSA,022A-WS4370XXXXXX-0111M0,Per Alstrom,Personal,wav
19,0000-920000_P.humei Call Bharatpur Ind92 185-230,2,2,January,1992,Bharatpur,Rajasthan,India,27.22,77.49,Per Alstrom,Personal,NA-Personal,Per Alstrom,Personal,wav
20,0000-920100_Bharatpur_Pholt_P. humei_022A-WS4369XXXXXX-0102M0,1,1,January,1992,Bharatpur,Rajasthan,India,27.22,77.49,Paul Holt,NSA,022A-WS4369XXXXXX-0102M0,Per Alstrom,Personal,wav
21,0000-920100_Bharatpur_Pholt_P. humei_022A-WS4369XXXXXX-0103M0,1,1,January,1992,Bharatpur,Rajasthan,India,27.22,77.49,Paul Holt,NSA,022A-WS4369XXXXXX-0103M0,Per Alstrom,Personal,wav
22,0000-920100_Corbett_Pholt_P. humei_022A-WS4369XXXXXX-0101M0,2,2,January,1992,Corbett NP,Uttarakhand,India,29.53,78.77,Paul Holt,NSA,022A-WS4369XXXXXX-0101M0,Paul Holt,NSA,wav
23,0000-920100_P.humei L PA_92_01_553-,4,1,January,1992,Rajasthan,Rajasthan,India,NA,NA,Per Alstrom,Personal,NA-Personal,Paul Holt,NSA,wav
24,0000-930100_Bharatpur_Pholt_P. humei_022A-WS4369XXXXXX-0104M0,1,1,January,1993,Bharatpur,Rajasthan,India,27.22,77.49,Paul Holt,NSA,022A-WS4369XXXXXX-0104M0,Paul Holt,NSA,wav
25,0000-930100_Bharatpur_Pholt_P. humei_022A-WS4369XXXXXX-0105M0,3,1,January,1993,Bharatpur,Rajasthan,India,27.22,77.49,Paul Holt,NSA,022A-WS4369XXXXXX-0105M0,Paul Holt,NSA,wav
26,0000-930100_Bharatpur_Pholt_P. humei_022A-WS4369XXXXXX-0106M0,3,1,January,1993,Bharatpur,Rajasthan,India,27.22,77.49,Paul Holt,NSA,022A-WS4369XXXXXX-0106M0,Per Alstrom,Personal,wav
27,0000-930100_Bharatpur_Pholt_P. humei_022A-WS4369XXXXXX-0107M0,7,2,January,1993,Bharatpur,Rajasthan,India,27.22,77.49,Paul Holt,NSA,022A-WS4369XXXXXX-0107M0,Per Alstrom,Personal,wav
28,0000-930100_Bharatpur_Pholt_P. humei_022A-WS4369XXXXXX-0108M0,3,2,January,1993,Bharatpur,Rajasthan,India,27.22,77.49,Paul Holt,NSA,022A-WS4369XXXXXX-0108M0,Per Alstrom,Personal,wav
29,0000-930100_Bharatpur_Pholt_P. humei_022A-WS4369XXXXXX-0109M0,3,1,January,1993,Bharatpur,Rajasthan,India,27.22,77.49,Paul Holt,NSA,022A-WS4369XXXXXX-0109M0,Paul Holt,NSA,wav
30,0000-930100_Bharatpur_Pholt_P. humei_022A-WS4369XXXXXX-0110M0,2,1,January,1993,Bharatpur,Rajasthan,India,27.22,77.49,Paul Holt,NSA,022A-WS4369XXXXXX-0110M0,Paul Holt,NSA,wav
31,0000-930100_Bharatpur_Pholt_P. humei_022A-WS4369XXXXXX-0111M0,2,1,January,1993,Bharatpur,Rajasthan,India,27.22,77.49,Paul Holt,NSA,022A-WS4369XXXXXX-0111M0,Paul Holt,NSA,wav
32,0000-930100_Bharatpur_Pholt_P. humei_022A-WS4369XXXXXX-0112M0,1,1,January,1993,Bharatpur,Rajasthan,India,27.22,77.49,Paul Holt,NSA,022A-WS4369XXXXXX-0112M0,Paul Holt,NSA,wav
33,0000-930100_Bharatpur_Pholt_P. humei_022A-WS4369XXXXXX-0113M0,2,0,January,1993,Bharatpur,Rajasthan,India,27.22,77.49,Paul Holt,NSA,NSA_022A-WS4369XXXXXX-0113M0,Paul Holt,NSA,wav
34,0000-930100_Bharatpur_Pholt_P. humei_022A-WS4369XXXXXX-0120M0,1,0,January,1993,Bharatpur,Rajasthan,India,27.22,77.49,Paul Holt,NSA,NSA_022A-WS4369XXXXXX-0120M0,Paul Holt,NSA,wav
35,0000-930200_Bharatpur_Pholt_P. humei_022A-WS4369XXXXXX-0115M0,1,0,February,1993,Bharatpur,Rajasthan,India,27.22,77.49,Paul Holt,NSA,NSA_022A-WS4369XXXXXX-0115M0,Paul Holt,NSA,wav
36,0000-930200_Bharatpur_Pholt_P. humei_022A-WS4369XXXXXX-0116M0,1,0,February,1993,Bharatpur,Rajasthan,India,27.22,77.49,Paul Holt,NSA,NSA_022A-WS4369XXXXXX-0116M0,Paul Holt,NSA,wav
37,0000-930900_Kazakistan_Pholt_P. humei_022A-WS4370XXXXXX-0113M0,4,0,Seotember,1993,Bharatpur,Rajasthan,India,27.22,77.49,Paul Holt,NSA,NSA_022A-WS4370XXXXXX-0113M0,Paul Holt,NSA,wav
38,0000-930900_Kazakistan_Pholt_P. humei_022A-WS4370XXXXXX-0115M0,1,1,September,1993,"Chokpak, Kazakhstan",Kazakhstan,Kazakhstan,42.62,70.57,Paul Holt,NSA,022A-WS4370XXXXXX-0115M0,Paul Holt,NSA,wav
39,0000-930900_Kazakistan_Pholt_P. humei_022A-WS4370XXXXXX-0116M0,1,1,September,1993,"Chokpak, Kazakhstan",Kazakhstan,Kazakhstan,42.62,70.57,Paul Holt,NSA,022A-WS4370XXXXXX-0116M0,Paul Holt,NSA,wav
40,0000-930900_Kazakistan_Pholt_P. humei_022A-WS4407XXXXXX-0115M0,2,2,September,1993,"Chokpak, Kazakhstan",Kazakhstan,Kazakhstan,42.62,70.57,Paul Holt,NSA,022A-WS4407XXXXXX-0115M0,Paul Holt,NSA,wav
41,0000-94000_Phylloscopus humei_Trevor Price_Loud_humei(1)_Manali 1994 Trevor,4,2,?,1994,Manali,Himachal pradesh,India,32.24,77.19,Trevor Price,Personal,NA-Personal,Paul Holt,NSA,wav
42,0000-940000_P.humei_Trevor Price_PhumeiRbM_Manali 1994 Trevor,7,1,?,1994,Manali,Himachal pradesh,India,32.24,77.19,Trevor Price,Personal,NA-Personal,Paul Holt,NSA,wav
43,0000-940100_Bharatpur__Drijvers_P. humei_022A-W0001X0228XX-0101M0,4,1,January,1994,Bharatpur,Rajasthan,India,27.22,77.49,Drijvers,NSA,022A-W0001X0228XX-0101M0,Paul Holt,NSA,wav
44,0000-960100_Bharatpur_Harrap_P. humei_022A-W0001X1735XX-0132M0,2,1,January,1996,Bharatpur,Rajasthan,India,27.22,77.49,Harrap,NSA,022A-W0001X1735XX-0132M0,Trevor Price,Personal,wav
45,0000-960200_Nepal_Harrap_P. humei_022A-W0001X1726XX-0142M0,2,1,February,1996,Ranathambore,Nepal,Nepal,26.02,76.5,Harrap,NSA,022A-W0001X1726XX-0142M0,Trevor Price,Personal,wav
46,0000-970100_Ranathambore_Pholt_P. humei_022A-W0001X0197XX-0109M0,1,1,January,1997,Ranthambore,Rajasthan,India,26.02,76.5,Paul Holt,NSA,022A-W0001X0197XX-0109M0,Trevor Price,Personal,wav
47,0000-970200_Bharatpur_Pholt_P. humei_022A-W0001X0197XX-0110M0,5,2,February,1997,Bharatpur,Rajasthan,India,27.22,77.49,Paul Holt,Personal,022A-W0001X0197XX-0110M0,Drijvers,NSA,wav
48,0000-971000_AN20bCue 01 P.humei Dehradun Uttarakhand 1997 October,2,1,October,1997,Dehradun,Uttarakhand,India,30.32,78.03,pratap Singh,Personal,NA-Personal,Harrap,NSA,wav
49,"0000-980112_Bharatpur_Pholt_Warbler, Hume's (Rajasthan)(CD24-29)",1,1,January,1998,Bharatpur,Rajasthan,India,27.22,77.49,Paul Holt,Personal,NA-Personal,Harrap,NSA,wav
50,"0000-980118_Bharatpur_Pholt_Warbler, Hume's Leaf (Rajasthan)(CD26-13)",1,1,January,1998,Bharatpur,Rajasthan,India,27.22,77.49,Paul Holt,Personal,NA-Personal,Paul Holt,NSA,wav
51,0000-980400_GHNP_ANCue 14 U Phylloscopus griseolis affinis GHNP Himachal 1998 April P-humei background,1,1,April,1998,"GHNP, Himachal",Himachal Pradesh,India,31.89,77.14,Pratap Singh,Personal,NA-Personal,Paul Holt,Personal,wav
52,0000-980400_GHNP_ANCue 16 Phylloscopus occipitalis GHNP Himachal 1998 April P-humei background,1,1,April,1998,"GHNP, Himachal",Himachal Pradesh,India,31.89,77.14,Pratap Singh,Personal,NA-Personal,Paul Holt,NSA,wav
53,0000-980400_Himachal_PS_ANCue 03 P.humei GHNP Himachal 1998 April,5,2,April,1998,"GHNP, Himachal",Himachal Pradesh,India,31.89,77.14,Pratap Singh,Personal,NA-Personal,pratap Singh,Personal,wav
54,0000-980400_Himachal_PS_ANCue 15 P.humei GHNP Himchal 1998 April,4,1,April,1998,"GHNP, Himachal",Himachal Pradesh,India,31.89,77.14,Pratap Singh,Personal,NA-Personal,Paul Holt,Personal,wav
55,0000-980500_P.humei L PA98_05_55-56,2,1,June,1998,Kaghan Valley,Kaghan Valley,Pakistan,NA,NA,Per Alstrom,Personal,NA-Personal,Paul Holt,Personal,wav
56,0000-980600_P.humei L PA98_06_12,2,1,June,1998,Kaghan Valley,Kaghan Valley,Pakistan,NA,NA,Per Alstrom,Personal,NA-Personal,Pratap Singh,Personal,wav
57,0000-990400_Himachal_PS_AN4Cue 17 P.humei GHNP Himachal 1999,3,1,April,1999,GHNP,Himachal Pradesh,India,31.89,77.14,Pratap Singh,Personal,NA-Personal,Pratap Singh,Personal,wav
58,0000-990400_Himachal_PS_AN6Cue 20 P.humei+Tarsiger rufilatus Soja-Jalori Himachal 1999,1,1,April,1999,Jalori Pass,Himachal Pradesh,India,31.54,77.37,Pratap Singh,Personal,NA-Personal,Pratap Singh,Personal,wav
59,0000-990425_76p27-28 P.humei Jalori Pass Himachal,1,1,April,1999,Jalori Pass,Himachal Pradesh,India,31.54,77.37,Pratap Singh,Personal,NA-Personal,Pratap Singh,Personal,wav
60,000326_58p25 Dendrocitta vagabunda near WII Dehradun Uttarakhand P-humei background,1,1,March,2000,Dehradun,Uttarakhand,India,30.32,78.03,pratap Singh,Personal,NA-Personal,Pratap Singh,Personal,wav
61,000327_58p32 Ocyceros birostris near WII Dehradun Uttarakhand P-humei background,1,1,March,2000,Dehradun,Uttarakhand,India,30.32,78.03,pratap Singh,Personal,NA-Personal,Per Alstrom,Personal,wav
62,000328_58p36-37 Geokichla citrina near WII Dehradun Uttarakhand P-humei background,1,0,March,2000,Dehradun,Uttarakhand,India,30.32,78.03,Pratap Singh,Personal,NA-Personal,Per Alstrom,Personal,wav
63,000408_24p70 P.humei FRI Dehradun Uttarakhand,3,2,April,2000,Dehradun,Uttarakhand,India,30.32,78.03,pratap Singh,Personal,NA-Personal,Pratap Singh,Personal,wav
64,010207_Bharatpur_Hannu_PhyhumD601,1,0,February,2001,Bharatpur,Rajasthan,India,27.22,77.49,Hannu Janes,Personal,NA-Personal,Pratap Singh,Personal,wav
65,010207_Corbett_Hannu_Phyhum2D101,1,1,February,2001,Corbett,Uttarakhand,India,29.53,78.77,Hannu Janes,Personal,NA-Personal,Pratap Singh,Personal,wav
66,010207_Corbett_Hannu_PhyhumD101,2,1,February,2001,Corbett,Uttarakhand,India,29.53,78.77,Hannu Janes,Personal,NA-Personal,pratap Singh,Personal,wav
67,010212_Bharatpur_Hannu_PhyhumD301,1,1,February,2001,Bharatpur,Rajasthan,India,27.22,77.49,Hannu Janes,Personal,NA-Personal,pratap Singh,Personal,wav
68,010213__Bharatpur_Hannu_PhyhumD501,1,0,February,2001,Bharatpur,Rajasthan,India,27.22,77.49,Hannu Janes,Personal,NA-Personal,pratap Singh,Personal,wav
69,010214_Bharatpur_Hannu_Phyhum2D401,3,1,February,2001,Bharatpur,Rajasthan,India,27.22,77.49,Hannu Janes,Personal,NA-Personal,pratap Singh,Personal,wav
70,010214_Bharatpur_Hannu_PhyhumD401,1,1,February,2001,Bharatpur,Rajasthan,India,27.22,77.49,Hannu Janes,Personal,NA-Personal,HANNU,Personal,wav
71,020103_Bharatpur_Hannu_Phyhum2D202,3,1,February,2002,Bharatpur,Rajasthan,India,27.22,77.49,Hannu Janes,Personal,NA-Personal,HANNU,Personal,wav
72,020103_Bharatpur_Hannu_Phyhum3D202,3,1,January,2002,Bharatpur,Rajasthan,India,27.22,77.49,Hannu Janes,Personal,NA-Personal,HANNU,Personal,wav
73,020103_Bharatpur_Hannu_PhyhumD202,3,1,January,2002,Bharatpur,Rajasthan,India,27.22,77.49,Hannu Janes,Personal,NA-Personal,HANNU,Personal,wav
74,020305_Bharatpur_Schweizer_XC347754 - Hume's Leaf Warbler - P.humei humei,1,1,March,2002,Bharatpur,Rajasthan,India,27.22,77.49,Schweizer,XC,XC347754 ,HANNU,Personal,wav
