Playback Serial No. ,Date,Playback,Latitude,Longitude,Time,Initial distance(m),Year,Recording.ID.Number,Response within 1 minute,Aggressive Calls,Fly overs,Direct approach towards the speaker,Height at the speaker is kept(from the ground),Vertical distance of approach,Horizontal distance of approach,Number of calls in the first minute,Number of buzzes in the first minute,Number of calls in the second,Number of buzzes in the second minute,Number of calls in the third minute,Number of buzzes in the Third minute,Number of calls in the fourth minute,Number of buzzes in the Fourth minute,Number of calls in the fifth minute,Number of buzzes in the Fifth minute,Total score out of three,Remarks
1,5/13/25,1,33.140805,76.449887,8:56,12,2011,110500x_Kazakhistan_Patrick Franke_XC120496 - Hume's Leaf Warbler - Phylloscopus humei humei_5 EDITED,Yes,NA,1,No,2m,2.5m,2,0,6,4,0,2,0,5,0,4,0,1,Very 
2,5/13/25,1,33.140805,76.449887,9:03,18,1989,0000_89_12xx_Nepal_Sebastian_P. humei_022A-W0001X0537XX-0135M0_7 EDITED,No,No,0,No,2m,NA,NA,0,7,5,0,6,0,5,0,6,0,0,Bird was not responding
3,5/13/25,2,33.13993,76.450628,9:39,12,1983,0000_83_06xx_Kyrgystan_Svensson_P. humei_022A-WS4368XXXXXX-0107M0_2 EDITED,No,No,0,No,3m,NA,2,0,3,0,2,0,6,0,5,NA,NA,0,"No response, the bird kept on buzzing"
4,5/13/25,2,33.13993,76.450628,9:46,15,1997,0000_97_02xx_Bharatpur_Pholt_P. humei_022A-W0001X0197XX-0110M0_96+97_4 EDITED,No,No,0,No,2m,NA,NA,0,0,0,0,1,3,0,6,NA,NA,0,Presence of rufous naped tit
5,5/14/25,3,33.14362,76.456334,8:44,7,2012,120200x_Bandhavgarh_Hannu_Phylloscopus humei_120211_01_1 EDITED,Yes,Yes,1,Yes,2m,1m,6,3,7,15,0,NA,NA,2,1,2,1,2,Pair of birds approached
6,5/14/25,3,33.14362,76.456334,8:51,2,1996,0000_96_01xx_Bharatpur_Harrap_P. humei_022A-W0001X1735XX-0132M0_96+97_1 EDITED,No,No,0,Yes,3m,NA,3,0,1,1,1,0,1,4,0,5,0,1,One more individual came in the last minute of observation and the first one chased the later
7,5/17/25,4,33.142472,76.445316,8:08,4,2012,121221_35 Phylloscopus humie U KNP_Bharatpur Rajasthan_9 EDITED,Yes,No,1,Yes,2m,3m,NA,2,0,3,0,0,0,7,0,0,0,1,Presence of Kestrel in the second minute and alarm call heard
8,5/17/25,4,33.142472,76.445316,8:15,13,2019,190205_347457461ML Phylloscopus humei EDITED,Yes,No,1,Yes,2.5m,NA,3,1,0,0,0,0,0,6,0,3,0,1,"Presence of Variegated laughingthrush, the individual approached inside 1m radius very silently in the 3rd minute, wing flicking also observed"
9,5/17/25,5,33.142304,76.4457,9:26,8,2020,201026_MIXPRE-3187 Phylloscopus humei WII Dehradun Uttarakhand EDITED,Yes,Yes,1,Yes,2.5m,0,1,3,0,10,0,0,0,0,0,0,1,3,"Presence of one more individual nearby, overall very good response to the playback"
10,5/17/25,5,33.142304,76.4457,9:33,15,1998,"0000_98_01xx_Bharatpur_Pholt_Warbler, Hume's (Rajasthan)(CD24-29)_98+99_3 EDITED",No,No,0,No,2m,NA,NA,0,4,0,0,0,0,0,0,0,0,0,No response at all from the individual to the playback
11,5/18/25,6,33.142555,76.458922,9:00,10,1991,0000_91_0000_x_Phylloscopus humei call Bharatpur Ind91 2_436-468 EDITED,No,No,0,No,2m,NA,NA,0,0,0,0,0,0,0,0,0,0,0,No response at all from the individual to the playback
12,5/18/25,6,33.142555,76.458922,9:07,8,2005,050916_D129aCue 23 Phylloscopus spp near Manali Himachal P-humei background_04+05_9 EDITED,No,No,0,No,3m,NA,NA,0,0,0,0,0,0,0,0,0,0,0,No response 
13,5/20/25,7,33.142555,76.458922,7:40,20,2020,201223_367754341ML Phylloscopus humei EDITED,Yes,Yes,1,No,2m,NA,12,6,0,1,0,1,0,0,1,0,0,1,Very mild response
14,5/21/25,8,33.144274,76.447614,6:33,10,2007,070204_D170Cue 83 Phylloscopus humei Badkal_Faridabad Haryana_06+07_10 EDITED,Yes,No,0,Yes,2m,NA,4,0,5,0,5,0,6,0,4,6,4,1,Presence of singing Western crowned leaf warbler nearby
15,5/21/25,8,33.144274,76.447614,6:40,15,1991,0000_91_0000_x_Phylloscopus humei Bharatpur K91 2_489-491 EDITED,No,No,0,No,3m,NA,NA,0,9,0,7,0,5,0,7,0,6,0,No response at all from the individual to the playback
16,5/21/25,9,33.143079,76.446699,7:30,20,2022,220616_MixPre-209 Phylloscopus humei EDITED,Yes,No,1,Yes,2m,NA,1,0,0,8,0,10,0,15,0,3,0,3,Very good response from the bird as it approached inside 1 m radius with calls
17,5/21/25,9,33.143079,76.446699,7:37,17,2019,190219_284362ML Phylloscopus humei EDITED,Yes,Yes,4,Yes,3m,NA,1,16,0,4,0,8,1,6,0,7,0,3,Very aggressive response
18,5/21/25,10,33.142826,76.44614,8:57,20,2008,081105_D191Cue 37 Phylloscopus spp Sariska Rajasthan_9 EDITED,No,No,0,No,2m,NA,NA,0,0,0,0,0,0,0,0,0,0,0,No response at all from the individual to the playback
19,5/21/25,10,33.142826,76.44614,9:03,25,2022,220223_XC704667 - Hume's Leaf Warbler - Phylloscopus humei EDITED220223,Yes,Yes,1,Yes,2m,NA,1.5,10,0,13,0,NA,NA,NA,NA,NA,NA,3,Two other individuals from adjacent territories also started calling and later I observed chases also
20,5/21/25,12,33.142744,76.445775,9:23,25,2012,121221_35 Phylloscopus humie U KNP_Bharatpur Rajasthan_9 EDITED,No,No,0,No,2m,NA,NA,0,0,0,0,0,0,0,0,0,0,0,No response at all from the individual to the playback
21,5/21/25,12,33.142744,76.445775,9:28,10,2014,140311_15 Phylloscopus humei Bhindawas Haryana_11 EDITED,Yes,No,0,Yes,3m,1.5m,1,2,0,2,0,0,NA,NA,NA,NA,NA,1,Very mild response
22,5/22/25,13,33.143304,76.447161,8:57,7,2023,230212_011_Tr1 Phylloscopus humei WII Dehradun Uttarakhand edited,Yes,No,1,Yes,2m,NA,1,0,0,10,0,4,0,2,0,3,0,2,"Presence of European goldfinch, might have triggered the bird"
23,5/22/25,13,33.143304,76.447161,9:05,8,1986,0000_86_02xx_Bharatpur_P. humei_Scharringa_022A-WS4368XXXXXX-0106M0_4 EDITED,No,No,0,No,2m,NA,NA,0,0,0,0,0,0,0,0,0,0,0,Presence of Indian blue robin and Western crowned leaf warbler
24,5/14/25,14,33.143816,76.446755,7:34,25,2004,041009_Datcut29 Phylloscopus humie IIFM Bhopal Madhya Pradesh EDITED,Yes,No,0,No,2m,NA,NA,0,0,12,0,0,0,0,3,0,0,1,Rufous-naped tits responded to the playback
25,5/14/25,15,33.143304,76.447161,7:07,20,2014,140310_35 Phylloscopus humei Bhindawas Haryana_10 EDITED,Yes,No,0,No,2m,NA,5,0,0,0,0,0,8,0,4,0,1,0,Not responding
