,songmatch:used to bring in recording information,location,Recording.ID.Number,Date,Playback,Latitude,Longitude,Time,Initial.distance.m.,Year,Song.ID,Response.within.1.minute,Aggressive.Calls,Fly.overs,Direct.approach.towards.the.speaker,Height.at.the.speaker.is.kept.from.the.ground.,Vertical.distance.of.approach,Horizontal.distance.of.approach,Number.of.calls.in.the.first.minute,Number.of.calls.in.the.second,Number.of.calls.in.the.third.minute,Number.of.calls.in.the.fourth.minute,Number.of.calls.in.the.fifth.minute,Total.score.out.of.three,Remarks,SN,Number.of.Calls,duration...seconds.,extranuous.sounds
1,0000_82_0504_41935ML Phylloscopus humei India Ben King_1982 EDITED,Bharatpur,1,12/15/24,1,27.197946,77.509824,12:28pm,6,1982,0000_82_0504_41935ML Phylloscopus humei India Ben King_1982 EDITED,Yes,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3,"Pair of birds observed, stopped calling after buzzing once on 5th minute",1,5,10,1
2,0000_83_06xx_Kyrgystan_Svensson_P. humei_022A-WS4368XXXXXX-0107M0_2 EDITED,Bharatpur,2,12/15/24,2,27.196992,77.510396,10:17am,20,1983,0000_83_06xx_Kyrgystan_Svensson_P. humei_022A-WS4368XXXXXX-0107M0_2 EDITED,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,,2,24,37,0
3,0000_86_02xx_Bharatpur_Hansen_P. humei_022A-WS4368XXXXXX-0104M0_3 EDITED,Dehradun,4,2/5/25,40,30.286955,77.973526,9:59,12,1986,40_0000_86_02xx_Bharatpur_Hansen_P. humei_022A-WS4368XXXXXX-0104M0_3 EDITED,no,0,0,0,3,NA,12,0,2,0,1,0,0,,3,37,66,1
4,0000_86_02xx_Bharatpur_Hansen_P. humei_022A-WS4368XXXXXX-0104M0_3 EDITED,Bharatpur,4,12/19/24,19,27.180916,77.516974,11:20am,30,1986,40_0000_86_02xx_Bharatpur_Hansen_P. humei_022A-WS4368XXXXXX-0104M0_3 EDITED,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,Presence of few other species of warblers observed,3,37,66,1
5,0000_89_12xx_Nepal_Sebastian_P. humei_022A-W0001X0537XX-0135M0_7 EDITED,Bharatpur,8,12/15/24,2,27.196992,77.510396,10:00am,20,1989,0000_89_12xx_Nepal_Sebastian_P. humei_022A-W0001X0537XX-0135M0_7 EDITED,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,Bird was found calling randomly,5,8,11,0
6,0000_89_12xx_Nepal_Sebastian_P. humei_022A-W0001X0537XX-0135M0_7 EDITED,Dehradun,8,1/13/25,28,30.284484,77.971911,12:10,20,1989,41_0000_89_12xx_Nepal_Sebastian_P. humei_022A-W0001X0537XX-0135M0_7 EDITED,no,0,0,0,4,NA,NA,0,0,0,4,0,0,Just few non aggressive calls at the 4th minute,5,8,11,0
7,0000_9001xx_Bharatpur_Sebatian_P. humei_022A-W0001X0537XX-0115M0_8 EDITED,Bharatpur,10,12/16/24,5,27.191989,77.505507,10:46am,2,1990,0000_9001xx_Bharatpur_Sebatian_P. humei_022A-W0001X0537XX-0115M0_8 EDITED,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,,6,20,16,0
8,0000_9001xx_Bharatpur_Sebatian_P. humei_022A-W0001X0537XX-0115M0_8 EDITED,Dehradun,10,1/11/25,25,30.402244,78.050027,11:36,15,1990,42_0000_9001xx_Bharatpur_Sebatian_P. humei_022A-W0001X0537XX-0115M0_8 EDITED,no,0,0,0,4,NA,NA,0,0,0,0,0,0,,6,20,16,0
9,0000_9001xx_Bharatpur_Sebatian_P. humei_022A-W0001X0537XX-0115M0_8 EDITED,Bharatpur,10,12/18/24,16,27.164657,77.510511,1:46pm,15,1990,42_0000_9001xx_Bharatpur_Sebatian_P. humei_022A-W0001X0537XX-0115M0_8 EDITED,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,,6,20,16,0
10,0000_91_0000_x_Phylloscopus humei call Bharatpur Ind91 2_436-468 EDITED,Bharatpur,15,12/19/24,23,27.181552,77.499598,12:45pm,12,1991,27_0000_91_0000_x_Phylloscopus humei call Bharatpur Ind91 2_436-468 EDITED,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,,8,23,43,0
11,0000_91_02xx_Netherlands_Hans_XC477443 - Hume's Leaf Warbler - Phylloscopus humei EDITED,Dehradun,190,2/2/25,39,30.348973,77.954699,13:19,13,1991,28_0000_91_02xx_Netherlands_Hans_XC477443 - Hume's Leaf Warbler - Phylloscopus humei EDITED,no,0,0,0,3,NA,NA,0,0,0,0,0,0,,9,3,5,0
12,0000_91_02xx_Netherlands_Hans_XC477443 - Hume's Leaf Warbler - Phylloscopus humei EDITED,Bharatpur,190,12/18/24,15,27.165796,77.510672,1:14pm,10,1991,0000_91_02xx_Netherlands_Hans_XC477443 - Hume's Leaf Warbler - Phylloscopus humei EDITED,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,,9,3,5,0
13,0000_91_0300x_Phylloscopus humei L PA_91_03_653-EDITED,Bharatpur,17,12/16/24,4,27.1894,77.500847,11:18am,10,1991,0000_91_0300x_Phylloscopus humei L PA_91_03_653-EDITED,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,,12,30,48,0
14,0000_91_0300x_Phylloscopus humei L PA_91_03_653-EDITED,Bharatpur,17,12/17/24,14,27.145798,77.518226,12:33pm,15,1991,0000_91_0300x_Phylloscopus humei L PA_91_03_653-EDITED,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,,12,30,48,0
15,0000_92_0000_x_Phylloscopus humei Call Bharatpur Ind92 185-230 EDITED,Bharatpur,21,12/17/24,13,27.148752,77.518844,3:13pm,10,1992,0000_92_0000_x_Phylloscopus humei Call Bharatpur Ind92 185-230 EDITED,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,No response even the bird was sitting very close to the speaker,13,48,60,0
16,0000_92_0000_x_Phylloscopus humei Call Bharatpur Ind92 185-230 EDITED,Bharatpur,21,12/18/24,17,27.163121,77.51067,1:43pm,5,1992,32_0000_92_0000_x_Phylloscopus humei Call Bharatpur Ind92 185-230 EDITED,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,,13,48,60,0
17,0000_92_0100x_Phylloscopus humei L PA_92_01_553 EDITED-,Bharatpur,22,12/19/24,18,27.178544,77.518172,10:22am,12,1992,33_0000_92_0100x_Phylloscopus humei L PA_92_01_553 EDITED-,No,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,started calling randomly at the 5th minute and again continued foraging,14,16,24,0
18,0000_92_0100x_Phylloscopus humei L PA_92_01_553 EDITED-,Dehradun,22,2/6/25,24,30.286955,77.973526,9:51,8,1992,0000920100x_Phylloscopus humei L PA_92_01_553-.Table.3.selections_8splits.txt,no,0,0,0,9,4,NA,0,0,0,12,0,0,,14,16,24,0
19,0000_92_0100x_Phylloscopus humei L PA_92_01_553 EDITED-,Dehradun,22,2/6/25,37,30.286955,77.973526,9:52,12,1992,33_0000_92_0100x_Phylloscopus humei L PA_92_01_553 EDITED-,no,0,0,0,4,NA,NA,0,0,0,13,9,0,Bird started calling after I stopped playback,14,16,24,0
