"","Year.of.recording","Total.score.out.of.three","X","cut","GT2009"
"1",2011,1,"sural",2,"(1.1,4]"
"2",1989,0,"sural",1,"(0,1.1]"
"3",1983,0,"sural",1,"(0,1.1]"
"4",1997,0,"sural",1,"(0,1.1]"
"5",2012,2,"sural",2,"(1.1,4]"
"6",1996,1,"sural",1,"(0,1.1]"
"7",2012,1,"sural",2,"(1.1,4]"
"8",2019,1,"sural",3,"(1.1,4]"
"9",2020,3,"sural",3,"(1.1,4]"
"10",1998,0,"sural",1,"(0,1.1]"
"11",1991,0,"sural",1,"(0,1.1]"
"12",2005,0,"sural",1,"(0,1.1]"
"13",2020,1,"sural",3,"(1.1,4]"
"14",2007,1,"sural",1,"(0,1.1]"
"15",1991,0,"sural",1,"(0,1.1]"
"16",2022,3,"sural",3,"(1.1,4]"
"17",2019,3,"sural",3,"(1.1,4]"
"18",2008,0,"sural",1,"(0,1.1]"
"19",2022,3,"sural",3,"(1.1,4]"
"20",2012,0,"sural",2,"(1.1,4]"
"21",2014,1,"sural",2,"(1.1,4]"
"22",2023,2,"sural",3,"(1.1,4]"
"23",1986,0,"sural",1,"(0,1.1]"
"24",2004,1,"sural",1,"(0,1.1]"
"25",2014,0,"sural",2,"(1.1,4]"
"26",1982,3,"bharatpur",1,"(0,1.1]"
"27",1983,0,"bharatpur",1,"(0,1.1]"
"28",1986,0,"bharatpur",1,"(0,1.1]"
"29",1989,0,"bharatpur",1,"(0,1.1]"
"30",1990,0,"bharatpur",1,"(0,1.1]"
"31",1990,0,"bharatpur",1,"(0,1.1]"
"32",1991,0,"bharatpur",1,"(0,1.1]"
"33",1991,0,"bharatpur",1,"(0,1.1]"
"34",1991,0,"bharatpur",1,"(0,1.1]"
"35",1992,0,"bharatpur",1,"(0,1.1]"
"36",1992,0,"bharatpur",1,"(0,1.1]"
"37",1992,0,"bharatpur",1,"(0,1.1]"
"38",1994,0,"bharatpur",1,"(0,1.1]"
"39",1994,1,"bharatpur",1,"(0,1.1]"
"40",1996,0,"bharatpur",1,"(0,1.1]"
"41",1999,0,"bharatpur",1,"(0,1.1]"
"42",1999,0,"bharatpur",1,"(0,1.1]"
"43",2002,1,"bharatpur",1,"(0,1.1]"
"44",2004,0,"bharatpur",1,"(0,1.1]"
"45",2005,0,"bharatpur",1,"(0,1.1]"
"46",2007,0,"bharatpur",1,"(0,1.1]"
"47",2007,0,"bharatpur",1,"(0,1.1]"
"48",2007,0,"bharatpur",1,"(0,1.1]"
"49",2008,0,"bharatpur",1,"(0,1.1]"
"50",2009,1,"bharatpur",1,"(0,1.1]"
"51",2010,0,"bharatpur",2,"(1.1,4]"
"52",2011,2,"bharatpur",2,"(1.1,4]"
"53",2011,3,"bharatpur",2,"(1.1,4]"
"54",2011,0,"bharatpur",2,"(1.1,4]"
"55",2012,0,"bharatpur",2,"(1.1,4]"
"56",2012,2,"bharatpur",2,"(1.1,4]"
"57",2012,3,"bharatpur",2,"(1.1,4]"
"58",2012,3,"bharatpur",2,"(1.1,4]"
"59",2012,0,"bharatpur",2,"(1.1,4]"
"60",2014,2,"bharatpur",2,"(1.1,4]"
"61",2014,0,"bharatpur",2,"(1.1,4]"
"62",2014,1,"bharatpur",2,"(1.1,4]"
"63",2014,2,"bharatpur",2,"(1.1,4]"
"64",2014,2,"bharatpur",2,"(1.1,4]"
"65",2014,3,"bharatpur",2,"(1.1,4]"
"66",2014,0,"bharatpur",2,"(1.1,4]"
"67",2014,1,"bharatpur",2,"(1.1,4]"
"68",2018,0,"bharatpur",3,"(1.1,4]"
"69",1991,0,"bharatpur",1,"(0,1.1]"
"70",2011,0,"bharatpur",2,"(1.1,4]"
"71",1986,0,"doon",1,"(0,1.1]"
"72",1989,0,"doon",1,"(0,1.1]"
"73",1990,0,"doon",1,"(0,1.1]"
"74",1992,0,"doon",1,"(0,1.1]"
"75",1992,0,"doon",1,"(0,1.1]"
"76",1994,0,"doon",1,"(0,1.1]"
"77",1996,0,"doon",1,"(0,1.1]"
"78",1998,0,"doon",1,"(0,1.1]"
"79",1999,0,"doon",1,"(0,1.1]"
"80",2000,0,"doon",1,"(0,1.1]"
"81",2004,2,"doon",1,"(0,1.1]"
"82",2006,0,"doon",1,"(0,1.1]"
"83",2009,0,"doon",1,"(0,1.1]"
"84",2010,1,"doon",2,"(1.1,4]"
"85",2011,1,"doon",2,"(1.1,4]"
"86",2012,2,"doon",2,"(1.1,4]"
"87",2012,1,"doon",2,"(1.1,4]"
"88",2012,1,"doon",2,"(1.1,4]"
"89",2012,0,"doon",2,"(1.1,4]"
"90",2014,2,"doon",2,"(1.1,4]"
"91",2014,0,"doon",2,"(1.1,4]"
"92",2018,1,"doon",3,"(1.1,4]"
"93",2018,0,"doon",3,"(1.1,4]"
"94",2019,0,"doon",3,"(1.1,4]"
"95",2020,1,"doon",3,"(1.1,4]"
"96",2020,1,"doon",3,"(1.1,4]"
"97",2020,1,"doon",3,"(1.1,4]"
"98",2021,3,"doon",3,"(1.1,4]"
"99",2021,2,"doon",3,"(1.1,4]"
"100",2021,0,"doon",3,"(1.1,4]"
"101",2021,3,"doon",3,"(1.1,4]"
"102",2021,2,"doon",3,"(1.1,4]"
"103",2022,3,"doon",3,"(1.1,4]"
"104",2022,0,"doon",3,"(1.1,4]"
"105",1991,0,"doon",1,"(0,1.1]"
"106",2012,0,"doon",2,"(1.1,4]"
"107",2012,0,"doon",2,"(1.1,4]"
