Unnamed: 0,Song.ID,playbk.Total.score.out.of.three,SN,Number.of.Calls
1,0000_82_0504_41935ML Phylloscopus humei India Ben King_1982 EDITED,3,1,5
2,0000_83_06xx_Kyrgystan_Svensson_P. humei_022A-WS4368XXXXXX-0107M0_2 EDITED,0,2,24
3,0000_89_12xx_Nepal_Sebastian_P. humei_022A-W0001X0537XX-0135M0_7 EDITED,0,5,8
4,0000_9001xx_Bharatpur_Sebatian_P. humei_022A-W0001X0537XX-0115M0_8 EDITED,0,6,20
5,0000_91_02xx_Netherlands_Hans_XC477443 - Hume's Leaf Warbler - Phylloscopus humei EDITED,0,9,3
6,0000_91_0300x_Phylloscopus humei L PA_91_03_653-EDITED,0,12,30
7,0000_91_0300x_Phylloscopus humei L PA_91_03_653-EDITED,0,12,30
8,0000_92_0000_x_Phylloscopus humei Call Bharatpur Ind92 185-230 EDITED,0,13,48
9,0000_94_xxxx_Phylloscopus humei_Trevor Price_Loud_humei(1)_Manali 1994 Trevor EDITED,1,16,30
10,0000_94_xxxx_Phylloscopus humei_Trevor Price_Loud_humei(1)_Manali 1994 Trevor EDITED,0,16,30
11,0000_96_02xx_Nepal_Harrap_P. humei_022A-W0001X1726XX-0142M0_96+97_2 EDITED,0,18,17
12,0000_99_04xx_Himachal_PS_AN4Cue 17 Phylloscopus humei GHNP Himachal 1999 April_98+99_10 EDITED,0,21,24
13,0000_99_04xx_Himachal_PS_AN4Cue 17 Phylloscopus humei GHNP Himachal 1999 April_98+99_10 EDITED,0,21,24
14,0000920100x_Phylloscopus humei L PA_92_01_553-.Table.3.selections_8splits.txt,0,14,16
15,041009_Datcut29 Phylloscopus humie IIFM Bhopal Madhya Pradesh EDITED,0,26,46
16,070204_D170Cue 83 Phylloscopus humei Badkal_Faridabad Haryana_06+07_10 EDITED,0,29,15
17,081105_D191Cue 37 Phylloscopus spp Sariska Rajasthan_9 EDITED,0,30,33
18,090402_D195Cue 33 Phylloscopus humei+tytleri Dhanaulti Uttarakhand_9 EDITED,1,31,9
19,1_0000_94_xxxx_Phylloscopus humei_Trevor Price_Loud_humei(1)_Manali 1994 Trevor EDITED,0,16,30
20,100215_07 Phylloscopus humei U SOOR SAROVAR AGRA UP_4 EDITED,0,32,12
21,11_041009_Datcut29 Phylloscopus humie IIFM Bhopal Madhya Pradesh EDITED,2,26,46
22,110500x_Kazakhistan_ArendWasinck_XC150181 - Hume's Leaf Warbler - Phylloscopus humei humei_4 EDITED,3,35,12
23,110500x_Kazakhistan_Patrick Franke_XC120496 - Hume's Leaf Warbler - Phylloscopus humei humei_5 EDITED,0,36,18
24,12_050916_D129aCue 23 Phylloscopus spp near Manali Himachal P-humei background_04+05_9 EDITED,0,27,32
25,"121000x_Xinjiang West China_Pholt_Warbler, Hume's Leaf (Xinjiang)(A7241)_3 down sampled EDITED",2,39,12
26,"121000x_Xinjiang West China_Pholt_Warbler, Hume's Leaf (Xinjiang)(A7241)_3 down sampled EDITED",3,39,12
27,121100x_Sultanpur_MikeNelson_XC116652 - Hume's Leaf Warbler - Phylloscopus humei humei_8 EDITED,3,41,30
28,13_060107_D133Cue 07 Phylloscopus humei U Kathotia Area near Bhopal Madhya Pradesh_06+07_6 EDITED,0,28,9
29,14_070204_D170Cue 83 Phylloscopus humei Badkal_Faridabad Haryana_06+07_10 EDITED,0,29,15
30,14_070204_D170Cue 83 Phylloscopus humei Badkal_Faridabad Haryana_06+07_10 EDITED,0,29,15
31,140310_35 Phylloscopus humei Bhindawas Haryana_10 EDITED,1,43,6
32,140310_35 Phylloscopus humei Bhindawas Haryana_10 EDITED,2,43,6
33,140311_15 Phylloscopus humei Bhindawas Haryana_11 EDITED,2,44,19
34,140500x_Kazakhistan_AlbertLastukhin_XC184262 - Hume's Leaf Warbler - Phylloscopus humei_4 EDITED,0,45,9
35,140500x_Kazakhistan_AlbertLastukhin_XC184262 - Hume's Leaf Warbler - Phylloscopus humei_4 EDITED,1,45,9
36,16_090402_D195Cue 33 Phylloscopus humei+tytleri Dhanaulti Uttarakhand_9 EDITED,0,31,9
37,17_100215_07 Phylloscopus humei U SOOR SAROVAR AGRA UP_4 EDITED,1,32,12
38,18_110200x_Harike_AnteStrand_XC105580 - Hume's Leaf Warbler - Phylloscopus humei_1 EDITED,2,33,7
39,180100x_Harike_Hannu_Phylloscopus humei 180131_05_16 EDITED,0,48,30
40,19_110300x_Haryana_MikeNelson_XC73382 - Hume's Leaf Warbler - Phylloscopus humei humei_3 EDITED,0,34,10
41,190205_347457461ML Phylloscopus humei.Table.3.selections_8splits.txt,0,49,32
42,2_0000_96_01xx_Bharatpur_Harrap_P. humei_022A-W0001X1735XX-0132M0_96+97_1 EDITED,0,17,4
43,201127_283225171ML Phylloscopus humei.Table.3.selections_8splits.txt,1,52,11
44,21_110500x_Kazakhistan_Patrick Franke_XC120496 - Hume's Leaf Warbler - Phylloscopus humei humei_5 EDITED,1,36,18
45,22_120500x_Kazakhistan_ArendWassinck_XC150198 - Hume's Leaf Warbler - Phylloscopus humei humei_2 EDITED,0,38,10
46,22_120500x_Kazakhistan_ArendWassinck_XC150198 - Hume's Leaf Warbler - Phylloscopus humei humei_2 EDITED,0,38,10
47,220616_MixPre-209 Phylloscopus humei EDITED,0,64,6
48,24_121100x_Sultanpur_MikeNelson_XC116652 - Hume's Leaf Warbler - Phylloscopus humei humei_8 EDITED,1,41,30
49,24_121100x_Sultanpur_MikeNelson_XC116652 - Hume's Leaf Warbler - Phylloscopus humei humei_8 EDITED,1,41,30
50,27_0000_91_0000_x_Phylloscopus humei call Bharatpur Ind91 2_436-468 EDITED,0,8,23
51,28_0000_91_02xx_Netherlands_Hans_XC477443 - Hume's Leaf Warbler - Phylloscopus humei EDITED,0,9,3
52,32_0000_92_0000_x_Phylloscopus humei Call Bharatpur Ind92 185-230 EDITED,0,13,48
53,33_0000_92_0100x_Phylloscopus humei L PA_92_01_553 EDITED-,0,14,16
54,33_0000_92_0100x_Phylloscopus humei L PA_92_01_553 EDITED-,0,14,16
55,35_120200x_Bandhavgarh_Hannu_Phylloscopus humei_120211_01_1 EDITED,0,37,13
56,35_120200x_Bandhavgarh_Hannu_Phylloscopus humei_120211_01_1 EDITED,2,37,13
57,37_121221_35 Phylloscopus humie U KNP_Bharatpur Rajasthan_9 EDITED,0,42,10
58,37_121221_35 Phylloscopus humie U KNP_Bharatpur Rajasthan_9 EDITED,0,42,10
59,40_0000_86_02xx_Bharatpur_Hansen_P. humei_022A-WS4368XXXXXX-0104M0_3 EDITED,0,3,37
60,40_0000_86_02xx_Bharatpur_Hansen_P. humei_022A-WS4368XXXXXX-0104M0_3 EDITED,0,3,37
61,41_0000_89_12xx_Nepal_Sebastian_P. humei_022A-W0001X0537XX-0135M0_7 EDITED,0,5,8
62,42_0000_9001xx_Bharatpur_Sebatian_P. humei_022A-W0001X0537XX-0115M0_8 EDITED,0,6,20
63,42_0000_9001xx_Bharatpur_Sebatian_P. humei_022A-W0001X0537XX-0115M0_8 EDITED,0,6,20
64,43_140310_35 Phylloscopus humei Bhindawas Haryana_10 EDITED,0,43,6
65,43_140310_35 Phylloscopus humei Bhindawas Haryana_10 EDITED,0,43,6
66,43_140310_35 Phylloscopus humei Bhindawas Haryana_10 EDITED,2,43,6
67,44_140311_15 Phylloscopus humei Bhindawas Haryana_11 EDITED,2,44,19
68,45_140500x_Kazakhistan_AlbertLastukhin_XC184262 - Hume's Leaf Warbler - Phylloscopus humei_4 EDITED,3,45,9
69,"47_180000x_Xinjiang_PA_Phylloscopus humei Call Mosuowan, Xinjiang, China XJ2018_1086_6 EDITED",0,47,17
70,"47_180000x_Xinjiang_PA_Phylloscopus humei Call Mosuowan, Xinjiang, China XJ2018_1086_6 EDITED",1,47,17
71,"5_0000_98_01xx_Bharatpur_Pholt_Warbler, Hume's (Rajasthan)(CD24-29)_98+99_3 EDITED",0,20,9
72,52_201127_283225171ML Phylloscopus humei EDITED,1,52,11
73,53_201223_367754341ML Phylloscopus humei EDITED,1,53,6
74,54_210107_295636581ML Phylloscopus humei EDITED,3,54,6
75,54_210107_295636581ML Phylloscopus humei EDITED,2,54,6
76,56_210221_MIXPRE-3602 Phylloscopus humei WII Dehradun EDITED,0,56,31
77,58_210305_MIXPRE-3624 Phylloscopus humei,3,57,8
78,58_210305_MIXPRE-3624 Phylloscopus humei,2,57,8
79,6_0000_99_04xx_Himachal_PS_AN4Cue 17 Phylloscopus humei GHNP Himachal 1999 April_98+99_10 EDITED,0,21,24
80,60_220111_MX661 Phylloscopus humei WII Dehradun EDITED,3,59,12
81,7_0202xx_Bharatpur_Hannu_Phyhum2D202_01+02_9 EDITED,1,22,76
82,8_2000_0408_24p70 Phylloscopus humei FRI Dehradun Uttarakhand_1 EDITED,0,23,12
