sno,YearCopy,Source.Name,Call type,Format,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,DeltaTimeS12,Year,Year5,Decades,Twos,Threes,4 Years
1,1982,0000820504_41935ML Phylloscopus humei India Ben King_1982.Table.5.selections_12splits.txt,a,wav,3962.109,4220.508,4565.039,4909.57,5426.367,4134.375,4220.508,4220.508,4134.375,4048.242,4306.641,3531.445,3875.977,4134.375,4565.039,4909.57,5426.367,4048.242,4306.641,4306.641,4220.508,3962.109,4306.641,3531.445,0.0192,1982,F1,D1,Tw01,T01,IV01
2,1983,00008302xx_Netherlands_Cornelius_P. humei_022A-WS4368XXXXXX-0101M0.Table.4.selections_12splits.txt,a,wav,3375,3750,4125,4312.5,4312.5,5062.5,4312.5,3562.5,3937.5,3750,3562.5,3375,3375,3750,3937.5,4312.5,4500,4875,4312.5,3562.5,3937.5,3750,3562.5,3375,0.0173,1983,F1,D1,Tw01,T01,IV01
3,1983,00008306xx_Kyrgystan_Svensson_P. humei_022A-WS4368XXXXXX-0107M0.Table.4.selections_12splits.txt,a,wav,3375,3937.5,4125,4312.5,4500,4875,3937.5,4125,4125,3562.5,3937.5,3937.5,3375,3937.5,4125,4312.5,4875,5062.5,3750,4125,4125,3562.5,3750,3750,0.0168,1983,F1,D1,Tw01,T01,IV01
4,1986,00008602xx_Bharatpur_Hansen_P. humei_022A-WS4368XXXXXX-0104M0.Table.4.selections_12splits.txt,b,wav,3375,3562.5,3750,3937.5,3937.5,4500,4687.5,5250,5250,4875,3937.5,3750,4687.5,3562.5,3750,3937.5,3937.5,4500,4687.5,5062.5,4875,5062.5,4312.5,3937.5,0.0149,1986,F2,D1,Tw03,T02,IV02
5,1986,00008602xx_Bharatpur_P. humei_Scharringa_022A-WS4368XXXXXX-0106M0.Table.4.selections_12splits.txt,b,wav,3562.5,3750,3937.5,4125,4687.5,4687.5,3562.5,3750,3937.5,3375,3750,3375,3375,3750,3937.5,4125,4500,4687.5,4312.5,3750,3937.5,3375,3750,3375,0.0171,1986,F2,D1,Tw03,T02,IV02
6,1986,00008605xx_Tuva Russia_Nicolai_P. humei_022A-WS4371XXXXXX-0104M0.Table.4.selections_12splits.txt,b,wav,3750,3937.5,3937.5,4312.5,5250,5437.5,4875,4875,5062.5,4312.5,3937.5,3375,3750,3937.5,3937.5,4125,5062.5,5250,4500,4875,4875,4125,3937.5,3562.5,0.0136,1986,F2,D1,Tw03,T02,IV02
7,1986,00008606xx_xxxx_Svensson_P. humei_022A-WS4368XXXXXX-0110M0.Table.4.selections_12splits.txt,a,wav,3562.5,3750,3750,4125,4312.5,4125,3750,3750,3750,3375,3750,3562.5,3562.5,3750,3937.5,4125,4312.5,3937.5,3750,3750,3750,3375,3750,3562.5,0.0173,1986,F2,D1,Tw03,T02,IV02
8,1989,0000890000x_ Phyloscopus humei _Trevor Price overa Humei1989.Table.4.selections_12splits.txt,b,wav,3962.109,4134.375,4306.641,4995.703,4478.906,3962.109,4392.773,4134.375,3703.711,3962.109,4134.375,4048.242,3962.109,4134.375,4306.641,4823.438,4823.438,4134.375,4392.773,4134.375,4134.375,3962.109,4134.375,3962.109,0.0151,1989,F2,D1,Tw04,T03,IV02
9,1989,00008912xx_Nepal_Sebastian_P. humei_022A-W0001X0537XX-0135M0_7.Table.4.selections_12splits.txt,a,wav,5857.031,3617.578,3703.711,3875.977,4048.242,4392.773,4823.438,5081.836,5340.234,5598.633,5857.031,4651.172,5857.031,3531.445,3703.711,3875.977,4048.242,4306.641,4823.438,5254.102,5167.969,5340.234,5770.898,4909.57,0.0131,1989,F2,D1,Tw04,T03,IV02
10,1990,00009001xx_Bharatpur_Sebatian_P. humei_022A-W0001X0537XX-0115M0.Table.4.selections_12splits.txt,a,wav,3703.711,4134.375,4134.375,4392.773,4737.305,5512.5,5426.367,4048.242,3789.844,3962.109,4306.641,4306.641,3703.711,4048.242,4134.375,4392.773,4651.172,5512.5,4392.773,4048.242,3875.977,4048.242,4220.508,4220.508,0.0154,1990,F2,D1,Tw05,T03,IV03
