sno,Source.Name,P1,P2,P3,P4,C1,C2,C3,C4,DeltaTimeS12,Year,YearF,Year5,Deacades,Twos,Threes,4 Years
1,0000820504_41935ML Phylloscopus humei India Ben King_1982.Table.3.selections_4splits.txt,4220.508,4909.57,4220.508,4306.641,4220.508,5081.836,4306.641,4220.508,0.0576,1982,1982,F1,D1,Tw01,T01,IV01
2,00008302xx_Netherlands_Cornelius_P. humei_022A-WS4368XXXXXX-0101M0_1.Table.2.selections_4splits.txt,4125,4312.5,4312.5,3750,3937.5,4312.5,4125,3562.5,0.052,1983,1983,F1,D1,Tw01,T01,IV01
3,00008306xx_Kyrgystan_Svensson_P. humei_022A-WS4368XXXXXX-0107M0_2.Table.2.selections_4splits.txt,4125,4312.5,4125,3937.5,3937.5,4500,4125,3750,0.0504,1983,1983,F1,D1,Tw01,T01,IV01
4,00008602xx_Bharatpur_Hansen_P. humei_022A-WS4368XXXXXX-0104M0_3.Table.2.selections_4splits.txt,3750,4500,4687.5,3937.5,3750,4125,4875,4500,0.0448,1986,1986,F2,D1,Tw03,T02,IV02
5,00008602xx_Bharatpur_P. humei_Scharringa_022A-WS4368XXXXXX-0106M0_4.Table.2.selections_4splits.txt,3937.5,4687.5,3750,3750,3750,4500,3750,3562.5,0.0512,1986,1986,F2,D1,Tw03,T02,IV02
6,00008605xx_Tuva Russia_Nicolai_P. humei_022A-WS4371XXXXXX-0104M0_5.Table.2.selections_4splits.txt,3937.5,5437.5,5062.5,4312.5,3937.5,5250,4875,4125,0.0409,1986,1986,F2,D1,Tw03,T02,IV02
7,00008606xx_xxxx_Svensson_P. humei_022A-WS4368XXXXXX-0110M0_6.Table.2.selections_4splits.txt,3750,4312.5,3750,3750,3937.5,4125,3750,3750,0.0518,1986,1986,F2,D1,Tw03,T02,IV02
8,0000890000x_ Phyloscopus humei _Trevor Price overa Humei1989.Table.2.selections_4splits.txt,4306.641,4995.703,4392.773,3962.109,4306.641,4823.438,4306.641,4048.242,0.0453,1989,1989,F2,D1,Tw04,T03,IV02
9,00008912xx_Nepal_Sebastian_P. humei_022A-W0001X0537XX-0135M0_7.Table.2.selections_4splits.txt,3703.711,4392.773,5081.836,5857.031,3703.711,4134.375,5167.969,5512.5,0.0392,1989,1989,F2,D1,Tw04,T03,IV02
10,00009001xx_Bharatpur_Sebatian_P. humei_022A-W0001X0537XX-0115M0_8.Table.2.selections_4splits.txt,4134.375,5512.5,4048.242,4306.641,4134.375,4651.172,4048.242,4220.508,0.0461,1990,1990,F2,D1,Tw05,T03,IV03
11,0000910000x_Phylloscopus humei Bharatpur K91 2_489-491.Table.2.selections_4splits.txt,3843.75,4968.75,3656.25,3937.5,3750,4593.75,3562.5,3843.75,0.0487,1991,1991,F3,D2,Tw05,T04,IV03
12,0000910000x_Phylloscopus humei call Bharatpur Ind91 2_436-468.Table.2.selections_4splits.txt,4031.25,4593.75,5718.75,4875,3937.5,4312.5,5343.75,5250,0.0413,1991,1991,F3,D2,Tw05,T04,IV03
13,0000910000x_Phylloscopus humei call Bharatpur Ind91 2_436-468.Table.5.selections_4splits.txt,3656.25,4218.75,5343.75,4406.25,3562.5,4125,5062.5,4406.25,0.0411,1991,1991,F3,D2,Tw05,T04,IV03
14,0000910000x_Phylloscopus humei Call Bharatpur Ind91 2_549-570.Table.2.selections_4splits.txt,5343.75,4500,5062.5,4406.25,5156.25,4218.75,5062.5,4687.5,0.0413,1991,1991,F3,D2,Tw05,T04,IV03
15,0000910000x_Phylloscopus humei Call Bharatpur Ind91 2_549-570.Table.5.selections_4splits.txt,3562.5,4406.25,5156.25,4218.75,3656.25,4218.75,5156.25,4500,0.0421,1991,1991,F3,D2,Tw05,T04,IV03
16,0000910000x_Phylloscopus humei Call Bharatpur Ind91 2_549-570.Table.8.selections_4splits.txt,3656.25,4125,4500,3750,3562.5,3937.5,4500,3656.25,0.04,1991,1991,F3,D2,Tw05,T04,IV03
17,0000910300x_Phylloscopus humei L PA_91_03_653-.Table.2.selections_4splits.txt,3531.445,4134.375,4565.039,3962.109,3531.445,3962.109,4478.906,4392.773,0.0409,1991,1991,F3,D2,Tw05,T04,IV03
18,0000910300x_Phylloscopus humei L PA_91_03_653-.Table.5.selections_4splits.txt,3617.578,4048.242,4737.305,3617.578,3617.578,4048.242,4134.375,3531.445,0.0545,1991,1991,F3,D2,Tw05,T04,IV03
19,00009111xx_Nepal_Pholt_P. humei_022A-WS4370XXXXXX-0108M0.Table.2.selections_4splits.txt,3750,4500,5062.5,4125,3750,4500,4875,4125,0.0546,1991,1991,F3,D2,Tw05,T04,IV03
20,00009111xx_Nepal_Pholt_P. humei_022A-WS4370XXXXXX-0109M0.Table.2.selections_4splits.txt,4312.5,4312.5,4875,4125,4125,4500,4312.5,4125,0.0507,1991,1991,F3,D2,Tw05,T04,IV03
21,00009111xx_Nepal_Pholt_P. humei_022A-WS4370XXXXXX-0111M0.Table.2.selections_4splits.txt,3937.5,3750,4500,3937.5,3750,3937.5,4687.5,3937.5,0.0537,1991,1991,F3,D2,Tw05,T04,IV03
22,0000920000x_Phylloscopus humei Call Bharatpur Ind92 185-230.Table.2.selections_4splits.txt,3843.75,4687.5,4781.25,4031.25,3843.75,4500,4218.75,4031.25,0.0507,1992,1992,F3,D2,Tw06,T04,IV03
23,0000920000x_Phylloscopus humei Call Bharatpur Ind92 185-230.Table.5.selections_4splits.txt,3750,4406.25,5625,4406.25,3750,4312.5,5343.75,4968.75,0.042,1992,1992,F3,D2,Tw06,T04,IV03
24,0000920100x_Phylloscopus humei L PA_92_01_553-.Table.2.selections_4splits.txt,3703.711,4478.906,4995.703,5081.836,3875.977,4306.641,5167.969,5254.102,0.045,1992,1992,F3,D2,Tw06,T04,IV03
25,00009201xx_Bharatpur_Pholt_P. humei_022A-WS4369XXXXXX-0102M0_3.Table.2.selections_4splits.txt,3750,4500,5625,6000,3750,4125,5625,5437.5,0.0467,1992,1992,F3,D2,Tw06,T04,IV03
26,00009201xx_Bharatpur_Pholt_P. humei_022A-WS4369XXXXXX-0103M0_4.Table.2.selections_4splits.txt,3562.5,4312.5,4687.5,3937.5,3375,4125,4687.5,3562.5,0.0507,1992,1992,F3,D2,Tw06,T04,IV03
27,00009201xx_Corbett_Pholt_P. humei_022A-WS4369XXXXXX-0101M0_5.Table.2.selections_4splits.txt,3562.5,3562.5,4312.5,4875,3562.5,3750,4687.5,4875,0.0395,1992,1992,F3,D2,Tw06,T04,IV03
28,00009201xx_Corbett_Pholt_P. humei_022A-WS4369XXXXXX-0101M0_5.Table.5.selections_4splits.txt,3375,4875,4312.5,3750,3562.5,4500,4312.5,3750,0.0487,1992,1992,F3,D2,Tw06,T04,IV03
29,00009301xx_Bharatpur_Pholt_P. humei_022A-WS4369XXXXXX-0104M0_1.Table.2.selections_4splits.txt,3562.5,3750,4687.5,4500,3375,3750,4687.5,4500,0.0446,1993,1993,F3,D2,Tw06,T04,IV03
30,00009301xx_Bharatpur_Pholt_P. humei_022A-WS4369XXXXXX-0105M0_2.Table.2.selections_4splits.txt,3750,4500,5250,5812.5,3937.5,4125,5062.5,5625,0.04,1993,1993,F3,D2,Tw06,T04,IV03
31,00009301xx_Bharatpur_Pholt_P. humei_022A-WS4369XXXXXX-0106M0_3.Table.2.selections_4splits.txt,3375,4312.5,5062.5,5812.5,3375,4125,5062.5,5250,0.0528,1993,1993,F3,D2,Tw06,T04,IV03
