"","songmatch.recordingSong.ID","songmatch.recordingSong.ID..in..recordings.Song.ID"
"1","0000_82_0504_41935ML Phylloscopus humei India Ben King_1982 EDITED",TRUE
"2","140311_15 Phylloscopus humei Bhindawas Haryana_11 EDITED",TRUE
"3","0000_83_06xx_Kyrgystan_Svensson_P. humei_022A-WS4368XXXXXX-0107M0_2 EDITED",TRUE
"4","0000_89_12xx_Nepal_Sebastian_P. humei_022A-W0001X0537XX-0135M0_7 EDITED",TRUE
"5","140310_35 Phylloscopus humei Bhindawas Haryana_10 EDITED",TRUE
"6","0000_91_0300x_Phylloscopus humei L PA_91_03_653-EDITED",TRUE
"7","121000x_Xinjiang West China_Pholt_Warbler, Hume's Leaf (Xinjiang)(A7241)_3 down sampled EDITED",TRUE
"8","0000_9001xx_Bharatpur_Sebatian_P. humei_022A-W0001X0537XX-0115M0_8 EDITED",TRUE
"9","121100x_Sultanpur_MikeNelson_XC116652 - Hume's Leaf Warbler - Phylloscopus humei humei_8 EDITED",TRUE
"10","140500x_Kazakhistan_AlbertLastukhin_XC184262 - Hume's Leaf Warbler - Phylloscopus humei_4 EDITED",TRUE
"11","180100x_Harike_Hannu_Phylloscopus humei 180131_05_16 EDITED",TRUE
"12","0000_94_xxxx_Phylloscopus humei_Trevor Price_Loud_humei(1)_Manali 1994 Trevor EDITED",TRUE
"13","081105_D191Cue 37 Phylloscopus spp Sariska Rajasthan_9 EDITED",TRUE
"14","041009_Datcut29 Phylloscopus humie IIFM Bhopal Madhya Pradesh EDITED",TRUE
"15","140310_35 Phylloscopus humei Bhindawas Haryana_10 EDITED",TRUE
"16","0000_94_xxxx_Phylloscopus humei_Trevor Price_Loud_humei(1)_Manali 1994 Trevor EDITED",TRUE
"17","121000x_Xinjiang West China_Pholt_Warbler, Hume's Leaf (Xinjiang)(A7241)_3 down sampled EDITED",TRUE
"18","0000_99_04xx_Himachal_PS_AN4Cue 17 Phylloscopus humei GHNP Himachal 1999 April_98+99_10 EDITED",TRUE
"19","070204_D170Cue 83 Phylloscopus humei Badkal_Faridabad Haryana_06+07_10 EDITED",TRUE
"20","090402_D195Cue 33 Phylloscopus humei+tytleri Dhanaulti Uttarakhand_9 EDITED",TRUE
"21","100215_07 Phylloscopus humei U SOOR SAROVAR AGRA UP_4 EDITED",TRUE
"22","110500x_Kazakhistan_ArendWasinck_XC150181 - Hume's Leaf Warbler - Phylloscopus humei humei_4 EDITED",TRUE
"23","140500x_Kazakhistan_AlbertLastukhin_XC184262 - Hume's Leaf Warbler - Phylloscopus humei_4 EDITED",TRUE
"24","0000_92_0000_x_Phylloscopus humei Call Bharatpur Ind92 185-230 EDITED",TRUE
"25","0000_96_02xx_Nepal_Harrap_P. humei_022A-W0001X1726XX-0142M0_96+97_2 EDITED",TRUE
"26","0000_91_0300x_Phylloscopus humei L PA_91_03_653-EDITED",TRUE
"27","110500x_Kazakhistan_Patrick Franke_XC120496 - Hume's Leaf Warbler - Phylloscopus humei humei_5 EDITED",TRUE
"28","0000_99_04xx_Himachal_PS_AN4Cue 17 Phylloscopus humei GHNP Himachal 1999 April_98+99_10 EDITED",TRUE
"29","0000_91_02xx_Netherlands_Hans_XC477443 - Hume's Leaf Warbler - Phylloscopus humei EDITED",TRUE
"30","0000_9001xx_Bharatpur_Sebatian_P. humei_022A-W0001X0537XX-0115M0_8 EDITED",TRUE
"31","120200x_Bandhavgarh_Hannu_Phylloscopus humei_120211_01_1 EDITED",TRUE
"32","0000_92_0000_x_Phylloscopus humei Call Bharatpur Ind92 185-230 EDITED",TRUE
"33","0202xx_Bharatpur_Hannu_Phyhum2D202_01+02_9 EDITED",TRUE
"34","0000_92_0100x_Phylloscopus humei L PA_92_01_553 EDITED-",TRUE
"35","110300x_Haryana_MikeNelson_XC73382 - Hume's Leaf Warbler - Phylloscopus humei humei_3 EDITED",TRUE
"36","0000_86_02xx_Bharatpur_Hansen_P. humei_022A-WS4368XXXXXX-0104M0_3 EDITED",TRUE
"37","140311_15 Phylloscopus humei Bhindawas Haryana_11 EDITED",TRUE
"38","110200x_Harike_AnteStrand_XC105580 - Hume's Leaf Warbler - Phylloscopus humei_1 EDITED",TRUE
"39","140500x_Kazakhistan_AlbertLastukhin_XC184262 - Hume's Leaf Warbler - Phylloscopus humei_4 EDITED",TRUE
"40","050916_D129aCue 23 Phylloscopus spp near Manali Himachal P-humei background_04+05_9 EDITED",TRUE
"41","140310_35 Phylloscopus humei Bhindawas Haryana_10 EDITED",TRUE
"42","070204_D170Cue 83 Phylloscopus humei Badkal_Faridabad Haryana_06+07_10 EDITED",TRUE
"43","121221_35 Phylloscopus humie U KNP_Bharatpur Rajasthan_9 EDITED",TRUE
"44","0000_91_0000_x_Phylloscopus humei call Bharatpur Ind91 2_436-468 EDITED",TRUE
"45","070204_D170Cue 83 Phylloscopus humei Badkal_Faridabad Haryana_06+07_10 EDITED",TRUE
"46","0000920100x_Phylloscopus humei L PA_92_01_553-.Table.3.selections_8splits.txt",FALSE
"47","0000_96_01xx_Bharatpur_Harrap_P. humei_022A-W0001X1735XX-0132M0_96+97_1 EDITED",TRUE
"48","0000_99_04xx_Himachal_PS_AN4Cue 17 Phylloscopus humei GHNP Himachal 1999 April_98+99_10 EDITED",TRUE
"49","0000_9001xx_Bharatpur_Sebatian_P. humei_022A-W0001X0537XX-0115M0_8 EDITED",TRUE
"50","201127_283225171ML Phylloscopus humei.Table.3.selections_8splits.txt",FALSE
"51","120500x_Kazakhistan_ArendWassinck_XC150198 - Hume's Leaf Warbler - Phylloscopus humei humei_2 EDITED",TRUE
"52","060107_D133Cue 07 Phylloscopus humei U Kathotia Area near Bhopal Madhya Pradesh_06+07_6 EDITED",TRUE
"53","090402_D195Cue 33 Phylloscopus humei+tytleri Dhanaulti Uttarakhand_9 EDITED",TRUE
"54","190205_347457461ML Phylloscopus humei.Table.3.selections_8splits.txt",FALSE
"55","0000_89_12xx_Nepal_Sebastian_P. humei_022A-W0001X0537XX-0135M0_7 EDITED",TRUE
"56","140310_35 Phylloscopus humei Bhindawas Haryana_10 EDITED",TRUE
"57","110500x_Kazakhistan_Patrick Franke_XC120496 - Hume's Leaf Warbler - Phylloscopus humei humei_5 EDITED",TRUE
"58","120200x_Bandhavgarh_Hannu_Phylloscopus humei_120211_01_1 EDITED",TRUE
"59","100215_07 Phylloscopus humei U SOOR SAROVAR AGRA UP_4 EDITED",TRUE
"60","121100x_Sultanpur_MikeNelson_XC116652 - Hume's Leaf Warbler - Phylloscopus humei humei_8 EDITED",TRUE
"61","2000_0408_24p70 Phylloscopus humei FRI Dehradun Uttarakhand_1 EDITED",TRUE
"62","140310_35 Phylloscopus humei Bhindawas Haryana_10 EDITED",TRUE
"63","041009_Datcut29 Phylloscopus humie IIFM Bhopal Madhya Pradesh EDITED",TRUE
"64","121100x_Sultanpur_MikeNelson_XC116652 - Hume's Leaf Warbler - Phylloscopus humei humei_8 EDITED",TRUE
"65","210107_295636581ML Phylloscopus humei EDITED",TRUE
"66","210305_MIXPRE-3624 Phylloscopus humei",FALSE
"67","121221_35 Phylloscopus humie U KNP_Bharatpur Rajasthan_9 EDITED",TRUE
"68","220111_MX661 Phylloscopus humei WII Dehradun EDITED",TRUE
"69","0000_98_01xx_Bharatpur_Pholt_Warbler, Hume's (Rajasthan)(CD24-29)_98+99_3 EDITED",TRUE
"70","210305_MIXPRE-3624 Phylloscopus humei",FALSE
"71","210107_295636581ML Phylloscopus humei EDITED",TRUE
"72","120500x_Kazakhistan_ArendWassinck_XC150198 - Hume's Leaf Warbler - Phylloscopus humei humei_2 EDITED",TRUE
"73","0000_92_0100x_Phylloscopus humei L PA_92_01_553 EDITED-",TRUE
"74","180000x_Xinjiang_PA_Phylloscopus humei Call Mosuowan, Xinjiang, China XJ2018_1086_6 EDITED",TRUE
"75","201127_283225171ML Phylloscopus humei EDITED",TRUE
"76","220616_MixPre-209 Phylloscopus humei EDITED",TRUE
"77","201223_367754341ML Phylloscopus humei EDITED",TRUE
"78","0000_91_02xx_Netherlands_Hans_XC477443 - Hume's Leaf Warbler - Phylloscopus humei EDITED",TRUE
"79","0000_86_02xx_Bharatpur_Hansen_P. humei_022A-WS4368XXXXXX-0104M0_3 EDITED",TRUE
"80","180000x_Xinjiang_PA_Phylloscopus humei Call Mosuowan, Xinjiang, China XJ2018_1086_6 EDITED",TRUE
"81","0000_94_xxxx_Phylloscopus humei_Trevor Price_Loud_humei(1)_Manali 1994 Trevor EDITED",TRUE
"82","210221_MIXPRE-3602 Phylloscopus humei WII Dehradun EDITED",TRUE
